,isInner,raw ssdeep,raw ppdeep,raw ppdeep_mod,raw byteBag,raw lzjd,raw bz,raw jump,raw ncd,skeletons ssdeep,skeletons ppdeep,skeletons ppdeep_mod,skeletons byteBag,skeletons lzjd,skeletons bz,skeletons jump,skeletons ncd,fstSecSkel ssdeep,fstSecSkel ppdeep,fstSecSkel ppdeep_mod,fstSecSkel byteBag,fstSecSkel lzjd,fstSecSkel bz,fstSecSkel jump,fstSecSkel ncd,fStat ssdeep,fStat ppdeep,fStat ppdeep_mod,fStat byteBag,fStat lzjd,fStat bz,fStat jump,fStat ncd,fStat0 ssdeep,fStat0 ppdeep,fStat0 ppdeep_mod,fStat0 byteBag,fStat0 lzjd,fStat0 bz,fStat0 jump,fStat0 ncd
fstSecSkel jump,0.37772706489426283,,,0.41067670606445544,0.4238135023968049,0.45453431871945105,0.42795434099062296,-0.0535535054043959,0.3794579917271158,0.35749072285391126,0.35938431010000976,0.49056707270745353,0.4529161559121532,0.4720220738093238,0.4532218309174871,0.9884448216675665,0.3851877511996274,0.35766911244368893,0.35933551749985954,0.490897669756946,0.4529161559121532,0.47212849783940325,0.44418361054123195,1.0,0.3857023242133031,0.279765446895573,0.27959453809659707,0.45993269690926936,0.4093288198629301,0.21924393038573728,0.3623204210262434,0.8008805697560851,0.32506768489564786,0.1624983968520331,0.1635911903749116,0.41808816074654015,0.4093288198629301,0.45260011906744413,0.4500640195308139,0.8958819217030463,0.3620316581720825
fstSecSkel ncd,0.37740097395202943,,,0.4936741254215264,0.5678258611181823,0.6543011305662855,0.5633429283167757,-0.035404659577710974,0.8277175815772606,0.33054455435676144,0.3315962277657664,0.46776468105092983,0.5930285572506176,0.675396228937491,0.4931172866854021,0.3840144750623269,0.9948469976346981,0.3307981100624864,0.3316890652958522,0.4658133782945417,0.5930285572506176,0.6762894098269109,0.4883854144575676,0.3857023242133031,1.0,0.28087455499833724,0.2800286106433847,0.5068763871419047,0.5912688112402077,0.31120744774274983,0.46852836776762646,0.3922416072744492,0.8267010682141559,0.2510709343213254,0.24976071418135756,0.4683409449430278,0.5912688112402077,0.6854777663757033,0.46860472630848904,0.3756682303659445,0.8641293984625734
fStat ssdeep,0.724699697680848,,,0.24905331514012943,0.22897670700865294,0.2848303470388187,0.2665676878591105,-0.1751180233527028,0.2816601289823945,0.42063469588948993,0.41864362125310545,0.24696115048925282,0.27512094385974545,0.279070842015234,0.27483635666713624,0.27975860278794223,0.28098024528372667,0.4217693800093491,0.4183848548449885,0.24735277958133398,0.27512094385974545,0.27857439604739315,0.2757800972188225,0.279765446895573,0.28087455499833724,1.0,0.990466944814966,0.31000147319625704,0.2823699202968364,0.27744934786163084,0.2789508199982749,0.28286428161058946,0.285394235853794,0.4381499971575032,0.4381499971575032,0.3832258119222514,0.2823699202968364,0.2780085117974631,0.2733656810344645,0.2795310295460304,0.28173123587435184
fStat ppdeep,0.7248407035577891,,,0.24910177380682796,0.22992180988096889,0.28352674117316323,0.26639432133081237,-0.17690305246052293,0.2803640512115815,0.4201090942044849,0.4195754038808042,0.24554254674892265,0.2753996121781103,0.27855896447883766,0.2766920189524765,0.2795876981700338,0.28013434348697014,0.4212441142547923,0.4193165548848727,0.24593627447226607,0.2753996121781103,0.2780625105010076,0.27684743676101264,0.27959453809659707,0.2800286106433847,0.990466944814966,1.0,0.3127224296922967,0.2826500357205138,0.2755848457635545,0.28080694512294513,0.28224342168820976,0.28364775467605446,0.42898739025056887,0.42898739025056887,0.37967078152451667,0.2826500357205138,0.27682150525326094,0.2747704773789509,0.27913474666664234,0.28156084909319196
fStat ppdeep_mod,0.40601008711702163,,,0.6526603191609874,0.6327808826108727,0.656129363285882,0.5629876295525182,-0.15897789527922337,0.44808161085163767,0.3351821183492269,0.3376556454255646,0.6144068560397131,0.6724986195474117,0.6658503736635679,0.6002383961220659,0.46270190248614107,0.5059067050257352,0.3354426379488192,0.3374402983613746,0.6131525934038903,0.6724986195474117,0.6615740717099565,0.5986878190178545,0.45993269690926936,0.5068763871419047,0.31000147319625704,0.3127224296922967,1.0,0.6753490241974776,0.15291046820355852,0.6206502630765074,0.5215282361920144,0.5444791801818767,0.270012025144841,0.26938262648482975,0.5816862440741973,0.6753490241974776,0.6922157792796408,0.5702491581431554,0.4773329844005628,0.5635150805867858
fStat byteBag,0.3774439941662709,,,0.7106298162261936,0.8204673234221252,0.787901385778603,0.7142647948213509,-0.011699412040931133,0.5163769629388881,0.2799721529929647,0.281802825030556,0.5944339995301511,0.8751770856062991,0.8079308297011201,0.7052690571266256,0.4091721319494174,0.5896097819994568,0.2803758886541375,0.2816867190894917,0.593225911406611,0.8751770856062991,0.8080500682867517,0.6961112276788901,0.4093288198629301,0.5912688112402077,0.2823699202968364,0.2826500357205138,0.6753490241974776,1.0,0.12766722069216657,0.7235928198780441,0.4718353040329495,0.6351981343953066,0.13163753530998587,0.1309823505635239,0.5138949950927167,1.0,0.8343457057427841,0.6687901260609382,0.4210656058818826,0.6628499820101333
fStat lzjd,0.3505671339657289,,,-0.012035855392240433,0.09164233872311398,0.17534981661270696,0.11269515999476927,-0.1735293056831561,0.3728517890678294,0.33678541928432376,0.3367823328994773,0.13386039395320212,0.1281034223753734,0.1590211156360023,0.02875858533701083,0.21742532783788152,0.3124565942294381,0.33717945990376613,0.33680478740054554,0.13587011602760274,0.1281034223753734,0.1578800113058213,0.032464095514172106,0.21924393038573728,0.31120744774274983,0.27744934786163084,0.2755848457635545,0.15291046820355852,0.12766722069216657,1.0,-0.011315141934111072,0.2302092662975164,0.23149948718740332,0.20697834506275545,0.2057743462284401,0.17052472135951754,0.12766722069216657,0.19721743309779596,0.02199708538574526,0.22642433463899542,0.22671598500813436
fStat bz,0.3775393055903152,,,0.6604959033773308,0.6414710770729816,0.6279962123733275,0.6611159539760075,-0.00019612904503454908,0.3603596519771252,0.1909606787251662,0.19350496187240943,0.5231257903206166,0.683816702431986,0.6797723572169418,0.7764677260009186,0.36337113849198754,0.46726281298727673,0.1912408112331348,0.19353277476286357,0.5228459041385334,0.683816702431986,0.6771106181170972,0.7790859759740714,0.3623204210262434,0.46852836776762646,0.2789508199982749,0.28080694512294513,0.6206502630765074,0.7235928198780441,-0.011315141934111072,1.0,0.42711739275634353,0.5560833348876603,0.15591873328495703,0.1563010208972144,0.4077276277500139,0.7235928198780442,0.6746612387606704,0.733883068215489,0.3753005922944453,0.5677606487320757
fStat jump,0.3776531589605243,,,0.44564531365224247,0.464101388361926,0.49533989653214844,0.4654225609793585,-0.02807126033878868,0.381941646644124,0.3422293383990903,0.3432100877459027,0.5328354226815006,0.49609826857896616,0.5131950940677259,0.5103025593995866,0.800746834072924,0.392117983521239,0.3424808903228026,0.34305643515862794,0.5336021365600331,0.49609826857896616,0.5126887739914712,0.5044256509874152,0.8008805697560851,0.3922416072744492,0.28286428161058946,0.28224342168820976,0.5215282361920144,0.4718353040329495,0.2302092662975164,0.42711739275634353,1.0,0.3630969926668158,0.18792370965796973,0.18879777342382076,0.4619125654261115,0.4718353040329495,0.5038665312836548,0.5001670912216426,0.8572080926652718,0.39074038349295726
fStat ncd,0.37757314313299845,,,0.5319216206881862,0.5723524200983026,0.6534197486150612,0.5955709835958706,-0.040226403349518755,0.7093165127478998,0.30664733397261756,0.30777253056133913,0.4717626445037424,0.6145063818847623,0.6828316799219293,0.5517707867377849,0.32426089974140965,0.8261270652808083,0.30662435412813605,0.30765540393371205,0.46989353548371054,0.6145063818847623,0.6824299656655213,0.5483865717114961,0.32506768489564786,0.8267010682141559,0.285394235853794,0.28364775467605446,0.5444791801818767,0.6351981343953066,0.23149948718740332,0.5560833348876603,0.3630969926668158,1.0,0.2711754444619363,0.27183085339114943,0.4899341002358336,0.6351981343953066,0.7089728650618323,0.5271804246680094,0.32173135616752085,0.8925475956208212
fStat0 ssdeep,0.3020372496221632,,,0.12154430028671685,0.14460848474603077,0.19908940757088858,0.17514376579208035,-0.051988045977346874,0.24440865893509559,0.22647182816839206,0.22420752518372294,0.2030616406636109,0.1655709831010613,0.1887362306494863,0.19008717687506943,0.16702940370901828,0.25128316747904783,0.22489737894786824,0.22372777072416838,0.2014794718584612,0.1655709831010613,0.18711447096182807,0.1996910167787711,0.1624983968520331,0.2510709343213254,0.4381499971575032,0.42898739025056887,0.270012025144841,0.13163753530998587,0.20697834506275545,0.15591873328495703,0.18792370965796973,0.2711754444619363,1.0,0.9935932637744826,0.3508583643624533,0.13163753530998587,0.21158342770238525,0.1821078027001222,0.14932536406062236,0.2620534430710703
fStat0 ppdeep,0.3020372496221632,,,0.12023609353216316,0.14340750827777382,0.19952877729794155,0.17459763618250104,-0.05193326405324008,0.24298926533842094,0.22600050282360873,0.22373625345448758,0.20472122208176066,0.16415164727493942,0.18774779534204064,0.18975944036321588,0.1681221704980861,0.25008216168184183,0.22442614295216812,0.22325651686271672,0.20313676481146853,0.16415164727493942,0.1864556171908357,0.19903557580466133,0.1635911903749116,0.24976071418135756,0.4381499971575032,0.42898739025056887,0.26938262648482975,0.1309823505635239,0.2057743462284401,0.1563010208972144,0.18879777342382076,0.27183085339114943,0.9935932637744826,1.0,0.35291188321741757,0.1309823505635239,0.21103627635068528,0.18183469561748855,0.15030884615103263,0.2616165963228793
