,isInner,raw ssdeep,raw ppdeep,raw ppdeep_mod,raw byteBag,raw lzjd,raw bz,raw jump,raw ncd,skeletons ssdeep,skeletons ppdeep,skeletons ppdeep_mod,skeletons byteBag,skeletons lzjd,skeletons bz,skeletons jump,skeletons ncd,fstSecSkel ssdeep,fstSecSkel ppdeep,fstSecSkel ppdeep_mod,fstSecSkel byteBag,fstSecSkel lzjd,fstSecSkel bz,fstSecSkel jump,fstSecSkel ncd,fStat ssdeep,fStat ppdeep,fStat ppdeep_mod,fStat byteBag,fStat lzjd,fStat bz,fStat jump,fStat ncd,fStat0 ssdeep,fStat0 ppdeep,fStat0 ppdeep_mod,fStat0 byteBag,fStat0 lzjd,fStat0 bz,fStat0 jump,fStat0 ncd
skeletons ppdeep,-0.06840880682693676,,,0.10053763742363923,0.14118164322436927,0.1498977577273206,0.053090430498109124,-0.007405969402236515,0.21408856036410331,0.9857673267326734,1.0,0.30858988190637526,0.14118164322436927,0.13368940436614404,0.026304197350195742,0.14762623095431446,0.20070802534134688,0.9866914740610798,0.9993811881188119,0.308560443329451,0.14118164322436927,0.13554298362945283,0.0011538914364388549,0.14622745736627216,0.20071665701645422,,,0.09648136635965,0.047521925660490315,0.23053280845460872,-0.060684244764048066,0.13229290042562644,0.10845179492257705,0.13090259120153205,0.12987724963870378,0.21467145546908512,0.047521925660490315,0.11918982006724389,0.0073845874193668665,0.12859885783084454,0.14903147628794264
skeletons ppdeep_mod,0.12752460784032055,,,0.5968338923377167,0.5747483780939185,0.5187082076139634,0.42599606414446967,0.11568569406040553,0.3494837817779739,0.30616004031656124,0.30858988190637526,1.0,0.5771035329923333,0.504113865902438,0.409522676939487,0.325850445792728,0.3210395341164177,0.30649787141311097,0.30858988190637526,0.9895058240030756,0.5771035329923333,0.5045687602048226,0.3881167071122497,0.32564092877636974,0.320781568768505,,,0.4638276361143777,0.4823538397714919,0.1930279332373615,0.35796993287343215,0.34513111199706187,0.3626062523303327,0.12024051558684776,0.12083289217551468,0.36081080903359236,0.4823538397714919,0.5011835056898166,0.3957115871711208,0.3311699375164872,0.3831820624470787
skeletons byteBag,0.1653788683221898,,,0.7030523902379405,0.9045407636738908,0.8092348488455859,0.6557096103950969,0.10862401014399398,0.4120404217957076,0.1393361315482337,0.14118164322436927,0.5771035329923333,1.0,0.77020814767798,0.6056513838374704,0.3512190483986586,0.4385293489326472,0.14007154410138,0.14164302114340316,0.574874697249548,1.0,0.7712446507364229,0.5770207340845116,0.3515332307079413,0.4396662955970694,,,0.669724808488431,0.7858617131062953,0.1361955244572901,0.5999742085309411,0.4035806315328034,0.5176774365927974,0.071892292343088,0.07240796785507737,0.4405107189434684,0.7858617131062953,0.7938439375177828,0.5705437364647314,0.3435040094790826,0.5446570635007756
skeletons lzjd,0.15730514664564263,,,0.5888332158421777,0.8040672475871162,0.8357958725315686,0.6086210420805309,0.11715778664396999,0.4692105607816774,0.13368940436614404,0.13368940436614404,0.504113865902438,0.77020814767798,1.0,0.6000915528528169,0.3945347649338819,0.5680281015648584,0.1339625569992493,0.13415279918197123,0.5035199538181472,0.77020814767798,0.9930597727075563,0.5772101243044535,0.3950197062297178,0.5695210358830239,,,0.6403770110083957,0.7014534448012645,0.11809037037864208,0.5997459775272466,0.4179659723709536,0.5715197809164696,0.11159196700321082,0.11127724186689267,0.39819275597744136,0.7014534448012645,0.7841426119388198,0.5701864832177012,0.3671357775924385,0.6385133404451692
skeletons bz,0.31897674723529384,,,0.5666610404105278,0.5841469319187987,0.5760603296062379,0.7315058430498304,0.20107098963699807,0.3506236611029979,0.02353533447122777,0.026304197350195742,0.409522676939487,0.6056513838374704,0.6000915528528169,1.0,0.4289101851362296,0.3649032312068001,0.024235049819748975,0.026765674496690404,0.40839648504013387,0.6056513838374704,0.5976725255738248,0.9143791547514579,0.4285286501225384,0.36689750402234395,,,0.5939864164429218,0.7011311503563729,0.080614052333227,0.7184031661361094,0.5060262626799533,0.5044525709120575,0.10328568308831504,0.10296358765036163,0.4135278185047945,0.7011311503563729,0.6587879548879157,0.8569461844818013,0.42716949905034507,0.481548394223401
skeletons jump,0.3069925332658347,,,0.33138299679875605,0.3470850331158887,0.40932518000079254,0.3357464190524175,0.11500428461441983,0.4076486610738669,0.1480882848853139,0.14762623095431446,0.325850445792728,0.3512190483986586,0.3945347649338819,0.4289101851362296,1.0,0.3749196327180525,0.14836522403635863,0.14762623095431446,0.3238238077314503,0.35121904839865853,0.3969568156723491,0.3949513340347474,0.9929279898936675,0.3753664201902381,,,0.3614825343293779,0.3699943678079052,0.2703730289201376,0.329500192437453,0.8197217590152288,0.33390789274662963,0.08814255197887957,0.08780316924509908,0.36814540693273673,0.3699943678079052,0.40307662488825585,0.3719309647360728,0.8816103208420358,0.3802596320813696
skeletons ncd,0.23494083142366282,,,0.3476232333313198,0.4617501616825619,0.5622931813379606,0.35979524582201367,0.055565425511346245,0.7033628623032596,0.20163082086015766,0.20070802534134688,0.3210395341164177,0.4385293489326472,0.5680281015648584,0.3649032312068001,0.3749196327180525,1.0,0.20192400589512263,0.20116942310075225,0.3186538763876827,0.4385293489326473,0.5678553436264262,0.34965157366100397,0.3738538403866456,0.994538340058709,,,0.37600547399683837,0.4132444639382958,0.3442101994396396,0.34735484385032034,0.3372354256836606,0.6745236510242474,0.14684087496784248,0.14656700848636675,0.32392585387248185,0.4132444639382958,0.5045754788670075,0.3467974519503439,0.31502849872439964,0.7974542014277114
fstSecSkel ssdeep,-0.06842998274659792,,,0.09930214975734204,0.14007154410138,0.15017627022067107,0.05195236756334667,-0.0039356391435108684,0.21438560168750734,0.9990715427444059,0.9866914740610798,0.30649787141311097,0.14007154410138,0.1339625569992493,0.024235049819748975,0.14836522403635863,0.20192400589512263,1.0,0.9866914740610798,0.3064686324079013,0.14007154410138,0.1358167100373012,0.0,0.1469659576684511,0.2019326898648458,,,0.09572015645605257,0.04638283420819997,0.2308354678601775,-0.06185707953993073,0.13302669903251557,0.10871618606164016,0.12860484218994592,0.12757659808038374,0.21569371364241732,0.04638283420819997,0.1199212397846253,0.007617713106653476,0.12933151294827902,0.14930837921616497
fstSecSkel ppdeep,-0.06840880682693676,,,0.1010441242620455,0.14164302114340316,0.15036183747260642,0.053552086415483986,-0.007868842489876295,0.21454995812350874,0.9857673267326734,0.9993811881188119,0.30858988190637526,0.14164302114340316,0.13415279918197123,0.026765674496690404,0.14762623095431446,0.20116942310075225,0.9866914740610798,1.0,0.308560443329451,0.14164302114340316,0.13600637844528,0.001615448011014397,0.14622745736627216,0.20117807461879092,,,0.09700858694085027,0.0479833035795242,0.23053280845460872,-0.06022276761755341,0.13229290042562644,0.10891329192224761,0.13090259120153205,0.12987724963870378,0.21530846275534354,0.0479833035795242,0.11965269315488368,0.007846124133077295,0.12859885783084454,0.149492874047348
fstSecSkel ppdeep_mod,0.1272411392948929,,,0.5938934953198292,0.5727009155047883,0.5177476779445557,0.42432410670902837,0.12058151700063269,0.348544660699205,0.3061308335394553,0.308560443329451,0.9895058240030756,0.574874697249548,0.5035199538181472,0.40839648504013387,0.3238238077314503,0.3186538763876827,0.3064686324079013,0.308560443329451,1.0,0.574874697249548,0.5039748047249386,0.3866299329207624,0.32361448279958843,0.31839583436812696,,,0.4646113881079432,0.47959059743758564,0.19319108950696987,0.3570298463937816,0.3458233741229776,0.36202807505055085,0.11885237653738683,0.11944317459307767,0.35714986697366535,0.47959059743758564,0.4998635456069936,0.3936805183566986,0.329506674950727,0.38079047650193804
