,isInner,raw ppdeep,raw ppdeep_mod,raw byteBag,raw lzjd,raw jump,raw ncd,skeletons ppdeep,skeletons ppdeep_mod,skeletons byteBag,skeletons lzjd,skeletons jump,skeletons ncd,fstSecSkel ppdeep,fstSecSkel ppdeep_mod,fstSecSkel byteBag,fstSecSkel lzjd,fstSecSkel jump,fstSecSkel ncd,fStat ppdeep,fStat ppdeep_mod,fStat byteBag,fStat lzjd,fStat jump,fStat ncd,fStat0 ppdeep,fStat0 ppdeep_mod,fStat0 byteBag,fStat0 lzjd,fStat0 jump,fStat0 ncd
skeletons lzjd,0.35123392905386236,0.08935462725193423,0.5023009728508471,0.567800911839655,0.7854781372034616,-0.009606934072491712,0.6278170213576217,0.3168347656634714,0.515309987565079,0.5810697276433449,1.0,0.417718027912467,0.671267358712999,0.3171366151222019,0.5146140752007616,0.5810697276433449,0.9923318007479783,0.4166368237774124,0.6702175956414672,0.27749144290334476,0.572325561137967,0.5710380118206356,-0.15624433295059217,0.4677231688602289,0.6426397927650588,0.2739100324724683,0.5594444063407628,0.5710380118206356,0.17397955542726581,0.42388451578487596,0.6587795349155708
skeletons jump,0.36792546996166137,0.08950246441934788,0.41574106776081066,0.4482478952884366,0.3926042721112197,0.16413918198673638,0.39610508256296556,0.2623976451165208,0.4975042403045844,0.45296430509058994,0.417718027912467,1.0,0.3962203071117169,0.26241602651329365,0.49849631920035276,0.4529643050905899,0.41857094849672155,0.9869448020223408,0.3964298867471288,0.2836594924118221,0.4780844558081638,0.41210425675854206,-0.05404654549822727,0.8420402266634536,0.3407639907970851,0.21095658802170802,0.40100733158358537,0.41210425675854206,-0.015875281000063385,0.8822408889756869,0.3844062517670149
skeletons ncd,0.3673494509592532,0.08920293639909131,0.5030535867044044,0.5871701216457373,0.6839266159497996,0.08825534318578764,0.8034583085803377,0.2653372344837883,0.45972938669420327,0.5979936659327972,0.671267358712999,0.3962203071117169,1.0,0.26560611778116217,0.45868867165258,0.5979936659327972,0.6724401035366543,0.3965618545797369,0.9940260664965815,0.28345502397052347,0.563681879893935,0.5976658054542968,-0.17977904670495373,0.4307615445770702,0.8218498255157258,0.27189262019075033,0.518204998189271,0.5976658054542968,0.11882099868088061,0.39625837375310263,0.8672441142816261
fstSecSkel ppdeep,0.40886554399395253,0.16051903893221536,0.2937709985868726,0.255527508103778,0.28439532277151636,0.062286074789478216,0.2734201877690406,0.9992467985315513,0.4447753446421548,0.26169179510814555,0.3171366151222019,0.26241602651329365,0.26560611778116217,1.0,0.4436667531328645,0.26169179510814555,0.3166452072565352,0.26500676119750455,0.2644406160850819,0.3785624176652197,0.22139844235400497,0.21559351511767377,-0.020019216564379223,0.2610384884041058,0.2371010683276516,0.3537503702847644,0.38312661191150915,0.21559351511767377,0.15627489749858445,0.2545000522073233,0.2357289077033819
fstSecSkel ppdeep_mod,0.390697112027922,0.09726897434820425,0.701453754872709,0.6434609247698458,0.5701329640703263,0.07183494504021591,0.4175019876605797,0.44347990505654206,0.9934548627187386,0.6513595782484761,0.5146140752007616,0.49849631920035276,0.45868867165258,0.4436667531328645,1.0,0.651359578248476,0.5119667344193235,0.49958952261497674,0.4591566170428137,0.3044263615519147,0.6458752523291212,0.6210913462224698,-0.3026866344296495,0.5465540016547836,0.4531913432384868,0.21347746968115813,0.525031117828562,0.6210913462224698,-0.13206956330004604,0.5143575803956254,0.489966937175461
fstSecSkel byteBag,0.36643689845079763,0.0894965251864266,0.7312707344924344,0.9569141811863983,0.7026687915561426,0.11306520365794653,0.5269197010350042,0.2614884184042307,0.6511713726327059,1.0,0.5810697276433449,0.4529643050905899,0.5979936659327972,0.26169179510814555,0.651359578248476,1.0,0.578963905463653,0.45369128005765297,0.5986069685936756,0.27917522813315176,0.6984253051260864,0.8798248377714337,-0.4252650298163715,0.518147016920219,0.6058588866794151,0.20505964478691974,0.5579541956069276,0.8798248377714337,-0.09888215155571464,0.4708558874171234,0.6524187883719271
fstSecSkel lzjd,0.35179393844538015,0.08935576896921442,0.4996671673867915,0.5655420575530765,0.782635903401023,-0.010500055629581164,0.6288833331662489,0.31634328877730206,0.5127888294617233,0.578963905463653,0.9923318007479783,0.41857094849672155,0.6724401035366543,0.3166452072565352,0.5119667344193235,0.578963905463653,1.0,0.41743135299599066,0.6714560324743298,0.2779286740862074,0.5706158162690886,0.5688077470679525,-0.15432390485572514,0.46841230272871975,0.6432357840297124,0.273669717704989,0.5590416854802599,0.5688077470679525,0.17653018632208328,0.424533053083249,0.6587478044218404
fstSecSkel jump,0.36796112175234347,0.08951113716257314,0.4158786435158287,0.4489815879773303,0.3913484081913225,0.16519900433619447,0.3971186300228634,0.2649887154126343,0.49862184420799643,0.45369128005765297,0.4166368237774124,0.9869448020223408,0.3965618545797369,0.26500676119750455,0.49958952261497674,0.45369128005765297,0.41743135299599066,1.0,0.39682259344363,0.28368697887219,0.4763827433422857,0.4132730313326254,-0.05407738740454584,0.842132788773902,0.34237546814483405,0.2105133974583977,0.3998254460242876,0.4132730313326254,-0.013914597910228945,0.8817485512074117,0.3850864009702842
fstSecSkel ncd,0.36739380835884466,0.08928520690502006,0.503938493473896,0.5879108478637477,0.6842821794728249,0.08902843524505982,0.8033372379502849,0.26417157561978044,0.46016969131747637,0.5986069685936756,0.6702175956414672,0.3964298867471288,0.9940260664965815,0.2644406160850819,0.4591566170428137,0.5986069685936756,0.6714560324743298,0.39682259344363,1.0,0.2835096480536384,0.5647434271107548,0.5983302489916756,-0.18016862095221944,0.4310665107520128,0.8230573824436013,0.2722007578946521,0.518611473492698,0.5983302489916756,0.11754508989093226,0.3965958447452991,0.8689700251235092
fStat ppdeep,0.7381610249163585,0.3120650442207207,0.2561635083921635,0.28034626790183836,0.27679549548735544,0.22843337770309863,0.28242309443713287,0.3783351903410155,0.3042119140040963,0.27917522813315176,0.27749144290334476,0.2836594924118221,0.28345502397052347,0.3785624176652197,0.3044263615519147,0.27917522813315176,0.2779286740862074,0.28368697887219,0.2835096480536384,1.0,0.32971403194393295,0.27744273431078514,0.16607096209740918,0.28316459498428875,0.2835621127833248,0.6044104150403108,0.38382990388927196,0.27744273431078514,0.1984919559306531,0.28256645169723404,0.28356153147066543
fStat ppdeep_mod,0.4098523609660812,0.10316732791610957,0.6422295851200404,0.6993470697977447,0.6450969193547181,0.04733083507577278,0.4900391320191268,0.22107634320142472,0.6451861981359319,0.6984253051260864,0.572325561137967,0.4780844558081638,0.563681879893935,0.22139844235400497,0.6458752523291212,0.6984253051260864,0.5706158162690886,0.4763827433422857,0.5647434271107548,0.32971403194393295,1.0,0.7103726169652105,-0.3224174527504417,0.5246043092559383,0.5833399239487311,0.28054495712359084,0.6292666713938903,0.7103726169652105,-0.16350998299546907,0.47822109788806444,0.6219807846891078
fStat byteBag,0.3679607980066623,0.08926190226534728,0.6914534866735069,0.8643264843119917,0.6799705868525698,0.12332973184712757,0.5182802842095452,0.21531138538207806,0.6198266287969819,0.8798248377714337,0.5710380118206356,0.41210425675854206,0.5976658054542968,0.21559351511767377,0.6210913462224698,0.8798248377714337,0.5688077470679525,0.4132730313326254,0.5983302489916756,0.27744273431078514,0.7103726169652105,1.0,-0.4037759209544902,0.4764766007518373,0.6232611033098201,0.1800070866488569,0.5307888531920514,0.9999999999999998,-0.09083525372813571,0.42820292462700615,0.6626792065498439
fStat lzjd,0.11594634364842153,0.0781623553776405,-0.4116677107331666,-0.4202671186656828,-0.26863376270348477,-0.019257668067187844,-0.10386172920396726,-0.0199755485818548,-0.30479920329278415,-0.4252650298163715,-0.15624433295059217,-0.05404654549822727,-0.17977904670495373,-0.020019216564379223,-0.3026866344296495,-0.4252650298163715,-0.15432390485572514,-0.05407738740454584,-0.18016862095221944,0.16607096209740918,-0.3224174527504417,-0.4037759209544902,1.0,-0.10243141561576723,-0.2281173124354931,0.07798622365371809,-0.2345748391448607,-0.40377592095449016,0.3813854552887514,-0.07084469792291247,-0.2419511204336588
fStat jump,0.3678928377503955,0.08917449439046451,0.4715368780979003,0.5109498700928738,0.4566525347077914,0.15683434645025732,0.4228409287416314,0.26094719990931925,0.545232400119472,0.518147016920219,0.4677231688602289,0.8420402266634536,0.4307615445770702,0.2610384884041058,0.5465540016547836,0.518147016920219,0.46841230272871975,0.842132788773902,0.4310665107520128,0.28316459498428875,0.5246043092559383,0.4764766007518373,-0.10243141561576723,1.0,0.39429939288807775,0.22183098360151549,0.45179334758789486,0.4764766007518373,-0.03226826517491759,0.8714926123820315,0.4348758568270947
fStat ncd,0.36702198002577496,0.08931779821957603,0.5108573488933482,0.5897676060437597,0.6933044984861044,0.06636931683932361,0.695236522931357,0.23684814280843797,0.4542493753984048,0.6058588866794151,0.6426397927650588,0.3407639907970851,0.8218498255157258,0.2371010683276516,0.4531913432384868,0.6058588866794151,0.6432357840297124,0.34237546814483405,0.8230573824436013,0.2835621127833248,0.5833399239487311,0.6232611033098201,-0.2281173124354931,0.39429939288807775,1.0,0.2813459044315917,0.5284403919537395,0.6232611033098201,0.07159482793691899,0.34872436792328304,0.8742292145371172
fStat0 ppdeep,0.4393806029886068,0.2989264037193477,0.22486514789048154,0.20675108535952758,0.2739921973863272,0.12805393634470477,0.2620227628952306,0.35339976810287693,0.21500208870788654,0.20505964478691974,0.2739100324724683,0.21095658802170802,0.27189262019075033,0.3537503702847644,0.21347746968115813,0.20505964478691974,0.273669717704989,0.2105133974583977,0.2722007578946521,0.6044104150403108,0.28054495712359084,0.1800070866488569,0.07798622365371809,0.22183098360151549,0.2813459044315917,1.0,0.34993421453339746,0.18000708664885692,0.09869243387086125,0.20755726423094134,0.27838090943253896
fStat0 ppdeep_mod,0.4849711224362001,0.12108813988666613,0.5447375756586776,0.5456365544257641,0.6025317041581638,0.029297248196392518,0.47283883005781635,0.3827122735162025,0.5256658896652314,0.5579541956069276,0.5594444063407628,0.40100733158358537,0.518204998189271,0.38312661191150915,0.525031117828562,0.5579541956069276,0.5590416854802599,0.3998254460242876,0.518611473492698,0.38382990388927196,0.6292666713938903,0.5307888531920514,-0.2345748391448607,0.45179334758789486,0.5284403919537395,0.34993421453339746,1.0,0.5307888531920514,-0.01069701953630766,0.4158407118782745,0.5464746912603197
fStat0 byteBag,0.3679607980066623,0.08926190226534728,0.6914534866735069,0.8643264843119917,0.6799705868525698,0.12332973184712757,0.5182802842095452,0.21531138538207806,0.6198266287969819,0.8798248377714337,0.5710380118206356,0.41210425675854206,0.5976658054542968,0.21559351511767377,0.6210913462224698,0.8798248377714337,0.5688077470679525,0.4132730313326254,0.5983302489916756,0.27744273431078514,0.7103726169652105,0.9999999999999998,-0.40377592095449016,0.4764766007518373,0.6232611033098201,0.18000708664885692,0.5307888531920514,1.0,-0.09083525372813571,0.42820292462700615,0.6626792065498439
fStat0 lzjd,0.21031270870397684,0.08140919729933833,-0.19581328974242712,-0.10423902314795369,0.03865687259258416,0.012071158848850174,0.175085374606807,0.15634831156815981,-0.13020186575984424,-0.09888215155571464,0.17397955542726581,-0.015875281000063385,0.11882099868088061,0.15627489749858445,-0.13206956330004604,-0.09888215155571464,0.17653018632208328,-0.013914597910228945,0.11754508989093226,0.1984919559306531,-0.16350998299546907,-0.09083525372813571,0.3813854552887514,-0.03226826517491759,0.07159482793691899,0.09869243387086125,-0.01069701953630766,-0.09083525372813571,1.0,-0.017756783429857162,0.04903582135141407
fStat0 jump,0.36803784688249214,0.08952013984531562,0.4286201247143467,0.464721642330058,0.40258082481527635,0.16832937024783115,0.4042264890613394,0.2544541666442107,0.5137966894056164,0.4708558874171234,0.42388451578487596,0.8822408889756869,0.39625837375310263,0.2545000522073233,0.5143575803956254,0.4708558874171234,0.424533053083249,0.8817485512074117,0.3965958447452991,0.28256645169723404,0.47822109788806444,0.42820292462700615,-0.07084469792291247,0.8714926123820315,0.34872436792328304,0.20755726423094134,0.4158407118782745,0.42820292462700615,-0.017756783429857162,1.0,0.390111764152368
fStat0 ncd,0.3672098042719943,0.08921237526054994,0.546490828543358,0.6393510617052904,0.7246440110755528,0.08605102126949557,0.7299881324592655,0.23541643036627186,0.4902112020502623,0.6524187883719271,0.6587795349155708,0.3844062517670149,0.8672441142816261,0.2357289077033819,0.489966937175461,0.6524187883719271,0.6587478044218404,0.3850864009702842,0.8689700251235092,0.28356153147066543,0.6219807846891078,0.6626792065498439,-0.2419511204336588,0.4348758568270947,0.8742292145371172,0.27838090943253896,0.5464746912603197,0.6626792065498439,0.04903582135141407,0.390111764152368,1.0
