,isInner,raw ppdeep,raw ppdeep_mod,raw byteBag,raw lzjd,raw bz,raw jump,raw ncd,skeletons ppdeep,skeletons ppdeep_mod,skeletons byteBag,skeletons lzjd,skeletons bz,skeletons jump,skeletons ncd,fstSecSkel ppdeep,fstSecSkel ppdeep_mod,fstSecSkel byteBag,fstSecSkel lzjd,fstSecSkel bz,fstSecSkel jump,fstSecSkel ncd,fStat ppdeep,fStat ppdeep_mod,fStat byteBag,fStat lzjd,fStat bz,fStat jump,fStat ncd,fStat0 ppdeep,fStat0 ppdeep_mod,fStat0 byteBag,fStat0 lzjd,fStat0 bz,fStat0 jump,fStat0 ncd
skeletons byteBag,0.26339521987414605,,0.668716382122401,0.9435844513243895,0.817701681806605,0.7172670484054631,0.2257912298222666,0.5738367613896023,0.27992218227974647,0.5977317855268071,1.0,0.7567359900392945,0.7057306051476774,0.4958253062065725,0.6252096555710107,0.2791524376011105,0.5959451366445014,1.0,0.75597837130877,0.7087726445271864,0.49866583106608897,0.6268168940358846,0.15716223279389457,0.7016608684812268,0.8804609563123497,0.10589826459229291,0.697006235349405,0.5334539211836191,0.6118902742888908,0.05867056860138461,0.502196614489106,0.8804609563123497,0.6983813627339778,0.7000560814371256,0.5099223821360672,0.6689032480800253
skeletons lzjd,0.2596291231473872,,0.636046472834582,0.7437633730671922,0.8050819057610082,0.6416937216913045,0.17238121322324737,0.6649470493247192,0.27721487399473294,0.576287991142755,0.7567359900392945,1.0,0.6143542894521713,0.5164530109831824,0.7532873209557057,0.2764413279073797,0.5737980740531404,0.7567359900392944,0.9933907333850472,0.6168901779137886,0.5167151935119786,0.752995448936135,0.1601912247874873,0.6225548495369341,0.7354608982050469,0.19652661320019693,0.587602264837482,0.5668366658230674,0.6814419558707996,0.06959128907341505,0.4992538668988529,0.7354608982050469,0.6743261216765161,0.6140009380175059,0.5289003164380974,0.757277327689225
skeletons bz,0.24466611448483286,,0.6307217669837624,0.6833592375131498,0.6544991514814545,0.8541908892107595,0.23575243457651898,0.4608898111824323,0.22434741960427973,0.5282426269985062,0.7057306051476774,0.6143542894521713,1.0,0.5398329671144158,0.5066047451837077,0.2238782671687017,0.5274582834485172,0.7057306051476774,0.6106669725761962,0.9824803073972661,0.5440607415111607,0.5094226441747571,0.16150761822218063,0.6036247860547057,0.7355017328459335,0.12078119034602088,0.8629712642931339,0.5784149172178089,0.5547043147004115,0.057195715418717805,0.442315979130061,0.7355017328459335,0.6785660870983155,0.9548409395572344,0.5451570689508156,0.568551529408565
skeletons jump,0.2920997933367014,,0.45322221066299084,0.4779205034824462,0.4955029662667218,0.5745295062761749,0.1878192480988243,0.4624657361089403,0.30107272012746294,0.3844501324271529,0.4958253062065725,0.5164530109831824,0.5398329671144158,1.0,0.4785848098878338,0.3002996249225139,0.3850784963023418,0.49582530620657245,0.5129457594757685,0.5380474974555169,0.9869872604370525,0.481921666183516,0.15944415049060334,0.37819863459702846,0.47998644225830694,0.3393852201958032,0.4677517426003713,0.8642922137893762,0.44402348331811736,0.04140946431785432,0.41318589312478,0.47998644225830694,0.5215219357640507,0.5372324633649929,0.8906027908431748,0.47081120175857255
skeletons ncd,0.29534243374080155,,0.5408206803535061,0.6138562817182973,0.6993333186386285,0.5215595841288589,0.20035514559898587,0.8024601099847948,0.26129441234498135,0.4490504241835475,0.6252096555710107,0.7532873209557057,0.5066047451837077,0.4785848098878338,1.0,0.26052691085310753,0.44788355208562775,0.6252096555710106,0.7532218148621904,0.5096386013971016,0.4778062358923686,0.9925594607261815,0.1582481546223921,0.525631894450827,0.6171246772213511,0.26559850456093104,0.474510658428399,0.5294776504225644,0.772791843332834,0.09629232986089607,0.5020270368391168,0.6171246772213511,0.5789280439688499,0.5077890340528495,0.5053386113678118,0.849571994857595
fstSecSkel ppdeep,0.2418436613958382,,0.3498903451625611,0.26916171878170236,0.29846420136959684,0.24522467543887672,0.11398341644026085,0.2991596038664089,0.999121383545091,0.5650985553435901,0.2791524376011105,0.2764413279073797,0.2238782671687017,0.3002996249225139,0.26052691085310753,1.0,0.5624628411120772,0.2791524376011105,0.27686050166883663,0.21918375935436746,0.30020430046405927,0.26125038097960457,0.2639471753769155,0.15249305206461,0.23595727094072816,0.2947093266054864,0.15593824960819183,0.30770698183067685,0.26236921113378997,0.13878492550889607,0.4017555019931937,0.23595727094072816,0.26412438214603123,0.21670334028591384,0.30210341059291035,0.26834942729996747
fstSecSkel ppdeep_mod,0.23393529553448397,,0.6753601907246974,0.5921802297130814,0.5864589280852777,0.5201900141796685,0.1630755488393248,0.4276509454794047,0.5630412990686308,0.9888692421944683,0.5959451366445014,0.5737980740531404,0.5274582834485172,0.3850784963023418,0.44788355208562775,0.5624628411120772,1.0,0.5959451366445014,0.5740470554628169,0.5216322051177711,0.3881204955089535,0.4498459899157779,0.17860550250489474,0.5765167292343563,0.5578997613375207,0.05052780287348071,0.5118071272161547,0.4320541417562408,0.44316162239144397,0.057193319193743736,0.4703004904455688,0.5578997613375207,0.5463467864489385,0.5183063453652196,0.3905833495579886,0.47846479214367504
fstSecSkel byteBag,0.26339521987414605,,0.668716382122401,0.9435844513243895,0.817701681806605,0.7172670484054631,0.2257912298222666,0.5738367613896023,0.27992218227974647,0.5977317855268071,1.0,0.7567359900392944,0.7057306051476774,0.49582530620657245,0.6252096555710106,0.2791524376011105,0.5959451366445014,1.0,0.75597837130877,0.7087726445271864,0.49866583106608897,0.6268168940358846,0.15716223279389457,0.7016608684812268,0.8804609563123497,0.10589826459229291,0.697006235349405,0.5334539211836191,0.6118902742888908,0.05867056860138461,0.502196614489106,0.8804609563123497,0.6983813627339778,0.7000560814371256,0.5099223821360672,0.6689032480800253
fstSecSkel lzjd,0.2552311545002224,,0.6340944688875597,0.7442175547338452,0.8021405820890275,0.6380035580264711,0.17280017613061174,0.6652351614493718,0.27763403612300597,0.5765368072137134,0.75597837130877,0.9933907333850472,0.6106669725761962,0.5129457594757685,0.7532218148621904,0.27686050166883663,0.5740470554628169,0.75597837130877,1.0,0.613721633926909,0.5132073224041578,0.7529299682238989,0.15910587447990837,0.6222976453625115,0.7362617082272783,0.1926105247104867,0.5853020015228076,0.5633260765973589,0.6791333386433582,0.07109795994588607,0.4975609481329921,0.7362617082272783,0.6694147666125649,0.6103131825255257,0.5260840925712578,0.7565194833284523
fstSecSkel bz,0.24496689172433397,,0.6265770349687507,0.6870886932802699,0.6555662578754,0.8534527326280704,0.2377488611493526,0.46151203482590725,0.21965234149466673,0.5228121764045385,0.7087726445271864,0.6168901779137886,0.9824803073972661,0.5380474974555169,0.5096386013971016,0.21918375935436746,0.5216322051177711,0.7087726445271864,0.613721633926909,1.0,0.542275142079119,0.5114238342290447,0.16044846784109681,0.6125413589537168,0.7402660022905649,0.11983803107727584,0.8633527206571031,0.5774926833874565,0.555502953023517,0.06020860790997177,0.4415143607793938,0.7402660022905649,0.6789401995464824,0.9589288824938277,0.5438022950449664,0.5705556053521114
