,isInner,raw ssdeep,raw ppdeep,raw ppdeep_mod,raw byteBag,raw lzjd,raw bz,raw jump,raw ncd,skeletons ssdeep,skeletons ppdeep,skeletons ppdeep_mod,skeletons byteBag,skeletons lzjd,skeletons bz,skeletons jump,skeletons ncd,fstSecSkel ssdeep,fstSecSkel ppdeep,fstSecSkel ppdeep_mod,fstSecSkel byteBag,fstSecSkel lzjd,fstSecSkel bz,fstSecSkel jump,fstSecSkel ncd,fStat ssdeep,fStat ppdeep,fStat ppdeep_mod,fStat byteBag,fStat lzjd,fStat bz,fStat jump,fStat ncd,fStat0 ssdeep,fStat0 ppdeep,fStat0 ppdeep_mod,fStat0 byteBag,fStat0 lzjd,fStat0 bz,fStat0 jump,fStat0 ncd
skeletons ppdeep,0.2815476647716575,0.1352026267389629,0.1352010764211203,0.21318412609527457,0.1872809630579928,0.2245520177341239,0.19115769358704743,0.01089162409274992,0.23301997386915926,0.9900131898784917,1.0,0.35115448145928874,0.19966575530491107,0.221955244131188,0.17830142825215575,0.26973618784475945,0.2211898069856112,0.9864579996280787,0.9951288692852248,0.34806925825391016,0.19966575530491107,0.2217808669022649,0.17216113111941259,0.26958295232133556,0.22121237973138314,0.32473106122675377,0.3243894313936151,0.18916324837431184,0.1809557332018176,0.23544907006441354,0.1414633303078745,0.2529187389866525,0.20595154910157432,0.270412440283035,0.2704152820481565,0.2909374343132417,0.1809557332018176,0.2077766011214224,0.17404442225046676,0.2587993681629295,0.21941654121450727
skeletons ppdeep_mod,0.3310240659813849,0.057699497825036056,0.05769835963165288,0.560320255900812,0.5753212473093774,0.5897560486717575,0.5220470953948247,0.062354479900800924,0.41316684304882173,0.3483131058631853,0.35115448145928874,1.0,0.5945933511058796,0.5848442317836052,0.5161589027730605,0.42330954558445044,0.4420736581502009,0.3480477744246794,0.3505943333428983,0.9799838251359606,0.5945933511058796,0.5848715982696627,0.5097818564300294,0.4232542755836396,0.4425863011818721,0.2339716603072822,0.233815823555655,0.5521710675750848,0.5548161662845378,0.16985295696467034,0.48161410552825096,0.47047278282392146,0.4525715999046536,0.17298765332749408,0.17300591000788662,0.46964747354790515,0.5548161662845378,0.5599111531747937,0.5077396422435951,0.4402730386009134,0.47851253952974676
skeletons byteBag,0.35741394886253647,0.05293416410438084,0.05293286972505513,0.6536272570186751,0.8796384433910603,0.7865585906805903,0.7257037935506219,0.0974073673595052,0.5058389582814303,0.19857441797051126,0.19966575530491107,0.5945933511058796,1.0,0.7673360328656496,0.7052375061935025,0.47516098279117963,0.5601263001044168,0.1990925763296546,0.2002877625934792,0.5967654277355778,1.0,0.7680400705722786,0.7012361666660024,0.4753808771657802,0.560640775244281,0.2230815843363552,0.22309107205454298,0.6974278410562258,0.8418238409152415,0.1515143291042536,0.684156180086399,0.5268734654920811,0.5809330344814571,0.15113457185078683,0.15114956004672292,0.5209493558058953,0.8418238409152415,0.764177972039807,0.6868724794966002,0.4948080851734482,0.6083923594983265
skeletons lzjd,0.363125977768856,0.0533362113673075,0.053334939687673874,0.6335728343688085,0.7528390766104878,0.8126357938968028,0.6588137350145022,0.0702189119140248,0.5925377793346324,0.22128039353009385,0.221955244131188,0.5848442317836052,0.7673360328656496,1.0,0.6457274952641494,0.5005234533115813,0.6846507677923307,0.22163674552622603,0.22230940143984207,0.5848770576918136,0.7673360328656496,0.9920178419323864,0.6401001300676649,0.5008238678662287,0.6851151475021626,0.2286762245169772,0.22859235892897592,0.641304936218859,0.7278566292314012,0.22079451461104835,0.6117378811741823,0.5597664831259983,0.6592387250977795,0.16663430557237258,0.16663879979095608,0.5423888572232385,0.7278566292314012,0.7469199420442666,0.63158272464624,0.5151567677052616,0.7016520740594765
skeletons bz,0.3743219775178434,0.05297362350024691,0.052972609755466374,0.6072167891574853,0.6672547477125053,0.6509530396216985,0.8119502689446426,0.1180788673270952,0.4365289673713229,0.17816864741447758,0.17830142825215575,0.5161589027730605,0.7052375061935025,0.6457274952641494,1.0,0.5308223519398025,0.49651174894001343,0.17846416327256362,0.17869998506746668,0.5174313297582518,0.7052375061935025,0.6455774977686907,0.963488076396111,0.5308089969379768,0.4973061240363544,0.22504919985574168,0.2249836162188695,0.6321531517007741,0.7467925346253045,0.1427069565792986,0.83796918069666,0.586475648914935,0.5589046405135586,0.15085196696326306,0.15084172186706235,0.4766056154795159,0.7467925346253045,0.6745581011961514,0.9148184808545377,0.546063098117028,0.5675750239118723
skeletons jump,0.3883329971779631,0.052981074254231396,0.052979997859238855,0.4271735518878895,0.45277318399312505,0.4908810061617849,0.5042834741575307,0.09128900732777226,0.45188346215495623,0.27052988708530434,0.26973618784475945,0.42330954558445044,0.47516098279117963,0.5005234533115813,0.5308223519398025,1.0,0.44468154581529146,0.26956910770112574,0.26890015126368305,0.423287117369578,0.4751609827911797,0.5006644032890603,0.5220758878691257,0.9879070262232904,0.4450243062863554,0.22510482451164268,0.2250331789259134,0.4222277285617158,0.4706591207591421,0.28641078130604025,0.4681906579710306,0.8044225510058094,0.4181047896015741,0.15369009794025046,0.15368691142367913,0.42253025731678684,0.4706591207591421,0.47118460388778555,0.5096922568816796,0.8731188385061157,0.44445732476113853
skeletons ncd,0.40366871832277806,0.05291170885225217,0.05290878987086878,0.5246536040184805,0.5467160614009066,0.656210245487314,0.5252920723589851,0.0495648443640051,0.7673305664063781,0.22108946837793939,0.2211898069856112,0.4420736581502009,0.5601263001044168,0.6846507677923307,0.49651174894001343,0.44468154581529146,1.0,0.22046474510665418,0.22061306568608982,0.43909396763386305,0.5601263001044168,0.6842499307400804,0.49031523407017596,0.44482211576692293,0.9923383269639968,0.22720635557505273,0.2270614301487218,0.5032151798748282,0.5624888457068137,0.34362289819285596,0.45455018840317596,0.4896685630797136,0.7603695895556655,0.17500695332863023,0.17498742500429648,0.5337825344839844,0.5624888457068137,0.6142540735475099,0.48630224796851707,0.45104501713702694,0.8199344087257522
fstSecSkel ssdeep,0.28227715421815003,0.13565291790193326,0.13565016268850788,0.212860661095823,0.1865768332485153,0.22370657395817353,0.19148304716135497,0.0096940224584927,0.23165411398626204,0.9951318376878985,0.9864579996280787,0.3480477744246794,0.1990925763296546,0.22163674552622603,0.17846416327256362,0.26956910770112574,0.22046474510665418,1.0,0.9902766506292364,0.3480034683895761,0.19909257632965457,0.22145857689999998,0.17251840040867505,0.26941797224884945,0.22049841777678866,0.32535013457621925,0.32492849904002785,0.18938682069630564,0.1803770417702918,0.2361138793194822,0.14207447151430852,0.25313137960818544,0.20483232022298256,0.27123393703615406,0.27123212453981815,0.2891873066187336,0.1803770417702918,0.2074831997317792,0.17411693262390635,0.25865320778818035,0.2184775610064089
fstSecSkel ppdeep,0.2828919614650267,0.1355888263434663,0.1355860718868112,0.21318228565702207,0.18748276767274843,0.2244483692388338,0.19170690880455513,0.009616775128014454,0.23195105035084554,0.9867696833193981,0.9951288692852248,0.3505943333428983,0.2002877625934792,0.22230940143984207,0.17869998506746668,0.26890015126368305,0.22061306568608982,0.9902766506292364,1.0,0.3507452714758413,0.2002877625934792,0.22213121795657767,0.17280788451509574,0.26874160350114157,0.22064285293964742,0.3260382642390655,0.3256630942383779,0.19012420577254077,0.1812426419127604,0.23580572427162674,0.14239590271855498,0.2525621826150981,0.2052121099122552,0.27134265536789737,0.2713442640288079,0.28946106628378854,0.1812426419127604,0.20807325958317513,0.17451889355134678,0.25806577867983416,0.2187696709356934
fstSecSkel ppdeep_mod,0.3328472570099479,0.05780380659009285,0.05780263251192749,0.562126820101295,0.576785558585911,0.5900697857541471,0.5234279408204019,0.0625838417102043,0.4097407946847735,0.3455863889978218,0.34806925825391016,0.9799838251359606,0.5967654277355778,0.5848770576918136,0.5174313297582518,0.423287117369578,0.43909396763386305,0.3480034683895761,0.3507452714758413,1.0,0.5967654277355778,0.5849399577152197,0.5110229931507151,0.4232248259826011,0.43961804908570373,0.23456837401693392,0.23438654295547617,0.5531451828382234,0.5556951994643036,0.16598592343585344,0.48328300739905466,0.4698735944952046,0.4487417944559739,0.16868550135694368,0.16871768435708825,0.4666844435937452,0.5556951994643036,0.5600865365352459,0.5090161317157876,0.43965042341905797,0.475217319653508
