,isInner,id1,id2,group1,group2,fourbytes,ppdeep,byteBagJaccard,lzjd1,size
57,False,UniswapV2Router02 - 0.6.12.hex,AggregationRouterV3 - 0.7.6.hex,UniswapV2Router02,AggregationRouterV3,0.0,45.19230769230769,0.48309470995496406,0.13399778516057587,0.5889448008297161
58,False,UniswapV2Router02 - 0.6.12.hex,AggregationRouterV3 - 0.8.4.hex,UniswapV2Router02,AggregationRouterV3,0.0,43.80952380952381,0.494077162332076,0.1352549889135255,0.646448738140053
59,False,UniswapV2Router02 - 0.6.12.hex,AggregationRouterV3 - 0.6.12.hex,UniswapV2Router02,AggregationRouterV3,0.0,44.66019417475728,0.48309470995496406,0.13777777777777778,0.5891368647485883
60,False,UniswapV2Router02 - 0.5.16.hex,AggregationRouterV3 - 0.5.16.hex,UniswapV2Router02,AggregationRouterV3,0.0,42.857142857142854,0.48728211749515815,0.14094707520891364,0.5919677515676321
61,False,UniswapV2Router02 - 0.5.16.hex,AggregationRouterV3 - 0.7.6.hex,UniswapV2Router02,AggregationRouterV3,0.0,45.19230769230769,0.46809613266826455,0.12403951701427003,0.572260376231711
62,False,UniswapV2Router02 - 0.5.16.hex,AggregationRouterV3 - 0.8.4.hex,UniswapV2Router02,AggregationRouterV3,0.0,44.76190476190476,0.47693092021412187,0.12589334799340296,0.6281352642579875
63,False,UniswapV2Router02 - 0.5.16.hex,AggregationRouterV3 - 0.6.12.hex,UniswapV2Router02,AggregationRouterV3,0.0,45.63106796116505,0.46809613266826455,0.13149171270718232,0.5724469991042103
64,False,DSToken - 0.7.6.hex,NonfungiblePositionManager - 0.6.12.hex,DSToken,NonfungiblePositionManager,0.125,0.0,0.1501263439528316,0.06989853438556934,0.17950637751691312
65,False,DSToken - 0.7.6.hex,NonfungiblePositionManager - 0.7.6.hex,DSToken,NonfungiblePositionManager,0.125,0.0,0.1509866454056209,0.06929577464788732,0.18088488898469499
66,False,DSToken - 0.7.6.hex,NonfungiblePositionManager - 0.5.16.hex,DSToken,NonfungiblePositionManager,0.125,0.0,0.1469447138700291,0.0686936936936937,0.17760668836151017
67,False,DSToken - 0.7.6.hex,NonfungiblePositionManager - 0.8.4.hex,DSToken,NonfungiblePositionManager,0.125,0.0,0.14247425588940613,0.06629213483146068,0.16875314228255406
68,False,DSToken - 0.6.12.hex,NonfungiblePositionManager - 0.6.12.hex,DSToken,NonfungiblePositionManager,0.125,0.0,0.1501263439528316,0.06989853438556934,0.17950637751691312
69,False,DSToken - 0.6.12.hex,NonfungiblePositionManager - 0.7.6.hex,DSToken,NonfungiblePositionManager,0.125,0.0,0.1509866454056209,0.06929577464788732,0.18088488898469499
70,False,DSToken - 0.6.12.hex,NonfungiblePositionManager - 0.5.16.hex,DSToken,NonfungiblePositionManager,0.125,0.0,0.1469447138700291,0.0686936936936937,0.17760668836151017
71,False,DSToken - 0.6.12.hex,NonfungiblePositionManager - 0.8.4.hex,DSToken,NonfungiblePositionManager,0.125,0.0,0.14247425588940613,0.06629213483146068,0.16875314228255406
