,isInner,id1,id2,raw bzJumpi02,raw bzJumpi04,raw bzJumpi08,raw bzJumpi16,skeletons bzJumpi02,skeletons bzJumpi04,skeletons bzJumpi08,skeletons bzJumpi16,fstSecSkel bzJumpi02,fstSecSkel bzJumpi04,fstSecSkel bzJumpi08,fstSecSkel bzJumpi16,fStat_V1 bzJumpi02,fStat_V1 bzJumpi04,fStat_V1 bzJumpi08,fStat_V1 bzJumpi16,fStat0V1 bzJumpi02,fStat0V1 bzJumpi04,fStat0V1 bzJumpi08,fStat0V1 bzJumpi16,fStat_V2 bzJumpi02,fStat_V2 bzJumpi04,fStat_V2 bzJumpi08,fStat_V2 bzJumpi16,fStat0V2 bzJumpi02,fStat0V2 bzJumpi04,fStat0V2 bzJumpi08,fStat0V2 bzJumpi16
skeletons bzJumpi16,0.4699262826433898,-0.11785442244906859,0.01687097246954145,0.7198831214502935,0.7364315174170197,0.7639803414600328,0.7695415370886406,0.7249346489814413,0.7591893856931603,0.8092767405147624,1.0,0.7158385795319412,0.7434985281282064,0.7771296711909507,0.8458132688651647,0.7063629945780411,0.7161072320446892,0.673919166557979,0.5924324618521256,0.7130779208025446,0.7316521601141687,0.7569955634890015,0.7421184367418207,0.7063633421612711,0.7160301734616474,0.6736997300409863,0.5922756985570153,0.7130779208025446,0.7316403290429672,0.756986036133275,0.7421037189270873
fstSecSkel bzJumpi02,0.4650615771901172,-0.11691195621628306,0.003953040523912063,0.8999351922982107,0.8640749125548108,0.7999256260002389,0.7360793762961109,0.923815854474089,0.8698212324549849,0.8091427763045372,0.7158385795319412,1.0,0.9134001201318128,0.8380374211787102,0.7282194227245077,0.9480417751545741,0.8938199700602433,0.7555805659012594,0.6161169937984105,0.9819190865829229,0.9152740673578532,0.8271181982933449,0.7344210026820466,0.9480455176003362,0.8937115722012364,0.7554281867489905,0.6159599635001068,0.9819190865829229,0.915288942973376,0.8271028497362624,0.7344690610788445
fstSecSkel bzJumpi04,0.48535881628803557,-0.11359280980236273,0.015509684202928793,0.8598614995118404,0.8695867400159077,0.8188868089537095,0.7590693846834026,0.8705843417434452,0.9160182907026372,0.8393496687078865,0.7434985281282064,0.9134001201318128,1.0,0.8773897133106296,0.7600564225884381,0.891460315697329,0.8825441716236497,0.7656942900250585,0.629337921842464,0.9103253406240733,0.9308175973171358,0.8449633891188103,0.7605358163642689,0.8914582227949491,0.8823754924819825,0.7654968901602599,0.6291064653247493,0.9103253406240733,0.930847143746566,0.8449432529184844,0.7605412092661457
fstSecSkel bzJumpi08,0.4966879141790102,-0.1261448840361945,0.0023186573204237297,0.7990352378571239,0.8137070645597543,0.804776945809545,0.7791620432032306,0.8067557661659299,0.8385592058069792,0.8992031609933591,0.7771296711909507,0.8380374211787102,0.8773897133106296,1.0,0.8047162796860299,0.8190951931308716,0.8200969721773976,0.7353951378936779,0.6189872579172493,0.8338469026764948,0.8514992156554695,0.8590998705600622,0.7890295210563016,0.8190574517924267,0.819975464263778,0.7351062302714441,0.6186673618852845,0.8338469026764948,0.8515201645494399,0.8591084756917999,0.7889803452683866
fstSecSkel bzJumpi16,0.4797445627824987,-0.12517131255203556,0.01919452244197168,0.7019039373932789,0.7173781423434354,0.7408585357611671,0.7432339859713417,0.7062171381227089,0.734041065588224,0.7695493639708494,0.8458132688651647,0.7282194227245077,0.7600564225884381,0.8047162796860299,1.0,0.7178775625846088,0.7300076555614669,0.6866290066721609,0.5991728017826183,0.7252916386520617,0.7473767312283959,0.7780337129248066,0.7609753430958929,0.7178677871218658,0.7299206165289726,0.6864269794967591,0.5989987140439861,0.7252916386520617,0.7473650173092751,0.7780233862052812,0.7609533767326929
fStat_V1 bzJumpi02,0.4493563773989273,-0.1106207425922625,0.00828906118972266,0.8812796201005594,0.8499561971557257,0.7909961264723857,0.7250209185106103,0.8926708111880766,0.8525462156685636,0.7927161861210718,0.7063629945780411,0.9480417751545741,0.891460315697329,0.8190951931308716,0.7178775625846088,1.0,0.909365149680508,0.7602161162263105,0.6203444324866453,0.9520279225327631,0.896480426078692,0.8119080805290331,0.7246958715744221,0.999546858675556,0.9092316049456315,0.7601001498661358,0.6202162469197511,0.9520279225327631,0.8964926774104447,0.8118916233455883,0.7247541011187794
fStat_V1 bzJumpi04,0.4620274700419207,-0.10046839251472474,0.04052212122198556,0.8477114981335878,0.8432358161257726,0.795281133596582,0.7367654578141869,0.8522720529097871,0.8443609271399282,0.7919847290137203,0.7161072320446892,0.8938199700602433,0.8825441716236497,0.8200969721773976,0.7300076555614669,0.909365149680508,1.0,0.8202139980870873,0.6634822906599579,0.8967311148240469,0.892799950149865,0.8184839606759057,0.7427078723898777,0.9092877960056488,0.9991932466721825,0.8200956861026529,0.6633655339278975,0.8967311148240469,0.892825602143652,0.818470900481368,0.7427673101037437
fStat_V1 bzJumpi08,0.4427047147538618,-0.07103151949395342,0.08953639735499257,0.725796891898476,0.7340917860380648,0.714844027831045,0.6842950418879289,0.7277620815815357,0.7380362256589349,0.7129348981658485,0.673919166557979,0.7555805659012594,0.7656942900250585,0.7353951378936779,0.6866290066721609,0.7602161162263105,0.8202139980870873,1.0,0.7379145261012456,0.756505369984297,0.7701831811221701,0.7341453971513495,0.7032339219345942,0.7601315463999331,0.8201224117734307,0.9984443486438477,0.7378061562347906,0.756505369984297,0.7702134498299252,0.73413985546029,0.7032293411579309
fStat_V1 bzJumpi16,0.3644929915357131,-0.05587611542082454,0.0903619240714048,0.6026658368414426,0.6135967971860676,0.6101847134600346,0.5976790415700566,0.6034210133777259,0.6157266581474403,0.607656702168381,0.5924324618521256,0.6161169937984105,0.629337921842464,0.6189872579172493,0.5991728017826183,0.6203444324866453,0.6634822906599579,0.7379145261012456,1.0,0.6161060256287706,0.6305552882922921,0.6183055161040325,0.6138454918994558,0.6202728694058192,0.6633618598339581,0.7376871415525734,0.996383230531877,0.6161060256287706,0.6305592480530782,0.6182956780632227,0.613838174935822
fStat0V1 bzJumpi02,0.4635709226058905,-0.11560020139304401,0.006966634563966991,0.900550237496883,0.8635131120258859,0.7982640360815516,0.7329571024258343,0.9166302674766721,0.8677614523157263,0.805461142273479,0.7130779208025446,0.9819190865829229,0.9103253406240733,0.8338469026764948,0.7252916386520617,0.9520279225327631,0.8967311148240469,0.756505369984297,0.6161060256287706,1.0,0.9174805610294835,0.8256086122138774,0.7333677628904324,0.9519957974267843,0.8966183426699769,0.7563617520028592,0.615962382672421,0.9999999999999999,0.9174966532378916,0.8255930538450963,0.7334228449336614
