,isInner,raw ncd,raw lzjd32,raw lzjd64,raw lzjd128,raw lzjd256,raw lzjd512,raw lzjd1K,skel ncd,skel lzjd32,skel lzjd64,skel lzjd128,skel lzjd256,skel lzjd512,skel lzjd1K,fStat ncd,fStat lzjd32,fStat lzjd64,fStat lzjd128,fStat lzjd256,fStat lzjd512,fStat lzjd1K,fStat0 ncd,fStat0 lzjd32,fStat0 lzjd64,fStat0 lzjd128,fStat0 lzjd256,fStat0 lzjd512,fStat0 lzjd1K
skel lzjd64,0.18303626314192567,0.5020050328598554,0.660096620716211,0.7541704070064966,0.7847214871407289,0.8180563675984673,0.8150856106472434,0.784027858466753,0.5826625689617316,0.7861930230943209,1.0,0.8804721533739258,0.8379516739463685,0.8387347103116067,0.6880796264992985,0.5817120172205245,0.6514714206678135,0.6640475255363832,0.6130119916797516,0.16417849389129896,-0.26529569899517025,-0.30041469453255815,0.640157098059167,0.6355686925805671,0.7061811133700604,0.7427287700426177,0.7473350580265241,0.6387857320945768,0.023639202647583398
skel lzjd128,0.15284166967010734,0.48173071662645145,0.615442405137391,0.7338382699010835,0.7759222094069307,0.8260854564578615,0.8153515697062049,0.7740400390280602,0.5795597327055795,0.7312005997103304,0.8804721533739258,1.0,0.8792530328614239,0.8552061264356905,0.681016349499288,0.5793122536386519,0.6503148233949041,0.6638199277753247,0.5964979826109094,0.13429891531240376,-0.2770480110820423,-0.3128140199270428,0.6460971330001677,0.6552859397634463,0.7307239886577915,0.7682809382293079,0.7630824788111414,0.617563353446956,0.008244710183742145
skel lzjd256,0.15704642107550176,0.46851952902794886,0.6087996195327134,0.7441810168561458,0.8080653253783909,0.8377072560238445,0.8293197091831287,0.7592871262517054,0.5693482705149417,0.6987620727859376,0.8379516739463685,0.8792530328614239,1.0,0.9104788098002942,0.6738730522989393,0.5697918299537592,0.659050170761447,0.6713175951994297,0.5936363153264669,0.1186964060037524,-0.28717345845273057,-0.29622748540993565,0.6374767928145764,0.665085939230965,0.735496775438225,0.7771715498883146,0.783276060262459,0.6012918492920238,-0.02392800347938687
skel lzjd512,0.17593267149511638,0.5129623335556192,0.6408393737892074,0.7550084871439567,0.8071740454549554,0.8468551112016236,0.8564282441220327,0.8095506162219434,0.5960988904339977,0.7218311962322332,0.8387347103116067,0.8552061264356905,0.9104788098002942,1.0,0.7368605756611333,0.5936171477631026,0.6542283630282215,0.6766465563831925,0.6265577232403851,0.1767016997572275,-0.2554640802609723,-0.29406442145641476,0.6609256124422132,0.6667803385642761,0.7406089467072015,0.7810599078824895,0.7967872109782408,0.661150752222397,0.0271306387063588
skel lzjd1K,0.19045612455012917,0.6424023998394086,0.6038371126142293,0.6307883724907454,0.6480184217337792,0.690620067075759,0.717271757699368,0.7900108235793007,0.6611023169102288,0.6820774419224682,0.6880796264992985,0.681016349499288,0.6738730522989393,0.7368605756611333,1.0,0.6145703485765552,0.5983677135919734,0.639626199884845,0.7051596830322168,0.3833390229688657,-0.1065506919443671,-0.18870852619182957,0.6859405212322214,0.5686483268157808,0.6305799693725572,0.625593130427853,0.6541242044994897,0.7765962379626768,0.2239814305502181
fStat ncd,0.30584950548058665,0.6118973000555378,0.508347280573648,0.5529298436073767,0.5548149614688997,0.5851702634718117,0.6030482316337091,0.6453724805261296,0.6751548620238875,0.5574498782016929,0.5817120172205245,0.5793122536386519,0.5697918299537592,0.5936171477631026,0.6145703485765552,1.0,0.6389624824918934,0.6686560929753653,0.6488836463131467,0.295913722029507,-0.10988636523929893,-0.21286495671751154,0.8230031589528088,0.5895858014634741,0.638583028689636,0.5866549406739469,0.6214482776415616,0.6196626170989207,0.13936682931685754
fStat lzjd32,0.2900367505650164,0.4654271275681789,0.5138021401127185,0.6364461501789204,0.6489492597560689,0.6549506670042475,0.6495206968535057,0.6600823073362077,0.5028306476909132,0.608394716400081,0.6514714206678135,0.6503148233949041,0.659050170761447,0.6542283630282215,0.5983677135919734,0.6389624824918934,1.0,0.813482495740944,0.7021384125838718,0.16476622710882838,-0.2863921636875705,-0.26842443147832773,0.6281059339138593,0.6864868820660851,0.6826794056900388,0.6780046230840041,0.7153283974720124,0.625230336377243,-0.025222605043614423
fStat lzjd64,0.30360213971102146,0.49582866418157223,0.5323108296087508,0.6370158228990099,0.6611536122565349,0.6816744801204284,0.682691702195952,0.6902447485878254,0.5359923163644946,0.6494893022153617,0.6640475255363832,0.6638199277753247,0.6713175951994297,0.6766465563831925,0.639626199884845,0.6686560929753653,0.813482495740944,1.0,0.777321428763309,0.23030189983654398,-0.2587768079719784,-0.28258137391305516,0.6648232345775589,0.6522536651072823,0.696516006202127,0.6957867552096642,0.7347982395577781,0.6748029161486534,0.029865189702380886
fStat lzjd128,0.2849425937464264,0.5657842847435569,0.543944738167938,0.6058059778911726,0.5946736716825054,0.6389698687527229,0.6565938019994869,0.7122583722789073,0.5308448558947564,0.642531789309065,0.6130119916797516,0.5964979826109094,0.5936363153264669,0.6265577232403851,0.7051596830322168,0.6488836463131467,0.7021384125838718,0.777321428763309,1.0,0.4090854266266656,-0.15356748673632792,-0.21438835092387534,0.6453773745411705,0.6176891768198126,0.6605794669129739,0.6625819202993892,0.7069369621552135,0.8079168534482303,0.18137990603917437
fStat lzjd256,0.22979774722894108,0.47265327411158126,0.22973307152543912,0.15928782530730443,0.12152176215306268,0.17358237682810734,0.19402538636817024,0.2752138237403104,0.34172499630792075,0.24065025747422278,0.16417849389129896,0.13429891531240376,0.1186964060037524,0.1767016997572275,0.3833390229688657,0.295913722029507,0.16476622710882838,0.23030189983654398,0.4090854266266656,1.0,0.30902680475045,0.14953848059734245,0.291970935512662,0.15742983715415423,0.1966107821393821,0.15710173727929677,0.20383110405108512,0.43435180039143506,0.6587947582707191
