op,dec,hex,min,max,mean,sd,f-stat
MISSING,198,0xc6,0,0,0.0,0.0,nan
MISSING,199,0xc7,0,0,0.0,0.0,nan
MISSING,201,0xc9,0,0,0.0,0.0,nan
MISSING,202,0xca,0,0,0.0,0.0,nan
MISSING,203,0xcb,0,0,0.0,0.0,nan
MISSING,204,0xcc,0,0,0.0,0.0,nan
MISSING,205,0xcd,0,0,0.0,0.0,nan
MISSING,207,0xcf,0,0,0.0,0.0,nan
MISSING,208,0xd0,0,0,0.0,0.0,nan
MISSING,209,0xd1,0,0,0.0,0.0,nan
MISSING,210,0xd2,0,0,0.0,0.0,nan
MISSING,211,0xd3,0,0,0.0,0.0,nan
MISSING,212,0xd4,0,0,0.0,0.0,nan
MISSING,213,0xd5,0,0,0.0,0.0,nan
MISSING,214,0xd6,0,0,0.0,0.0,nan
MISSING,215,0xd7,0,0,0.0,0.0,nan
MISSING,216,0xd8,0,0,0.0,0.0,nan
MISSING,218,0xda,0,0,0.0,0.0,nan
MISSING,219,0xdb,0,0,0.0,0.0,nan
MISSING,220,0xdc,0,0,0.0,0.0,nan
MISSING,222,0xde,0,0,0.0,0.0,nan
MISSING,223,0xdf,0,0,0.0,0.0,nan
MISSING,224,0xe0,0,0,0.0,0.0,nan
MISSING,227,0xe3,0,0,0.0,0.0,nan
MISSING,228,0xe4,0,0,0.0,0.0,nan
MISSING,229,0xe5,0,0,0.0,0.0,nan
MISSING,230,0xe6,0,0,0.0,0.0,nan
MISSING,231,0xe7,0,0,0.0,0.0,nan
MISSING,232,0xe8,0,0,0.0,0.0,nan
MISSING,233,0xe9,0,0,0.0,0.0,nan
MISSING,234,0xea,0,0,0.0,0.0,nan
MISSING,235,0xeb,0,0,0.0,0.0,nan
MISSING,237,0xed,0,0,0.0,0.0,nan
MISSING,238,0xee,0,0,0.0,0.0,nan
MISSING,246,0xf6,0,0,0.0,0.0,nan
MISSING,247,0xf7,0,0,0.0,0.0,nan
MISSING,248,0xf8,0,0,0.0,0.0,nan
MISSING,249,0xf9,0,0,0.0,0.0,nan
MISSING,251,0xfb,0,0,0.0,0.0,nan
MISSING,252,0xfc,0,0,0.0,0.0,nan
