op,dec,hex,count,percent
DUP13,140,0x8c,   1389,0.06%
SWAP7,150,0x96,   1364,0.06%
PUSH8,103,0x67,   1254,0.05%
LOG3,163,0xa3,   1183,0.05%
PUSH16,111,0x6f,   1133,0.05%
CALLDATACOPY, 55,0x37,    970,0.04%
SWAP8,151,0x97,    887,0.04%
PUSH5,100,0x64,    864,0.04%
DUP14,141,0x8d,    848,0.04%
DUP15,142,0x8e,    827,0.03%
SWAP9,152,0x98,    744,0.03%
TIMESTAMP, 66,0x42,    727,0.03%
LOG1,161,0xa1,    689,0.03%
SHR, 28,0x1c,    506,0.02%
PUSH29,124,0x7c,    504,0.02%
PUSH6,101,0x65,    444,0.02%
PUSH21,116,0x74,    415,0.02%
DUP16,143,0x8f,    386,0.02%
SWAP10,153,0x99,    386,0.02%
PUSH10,105,0x69,    370,0.02%
LOG2,162,0xa2,    357,0.02%
PUSH19,114,0x72,    354,0.01%
NUMBER, 67,0x43,    339,0.01%
PUSH15,110,0x6e,    314,0.01%
SIGNEXTEND, 11,0x0b,    306,0.01%
PUSH12,107,0x6b,    305,0.01%
SWAP11,154,0x9a,    305,0.01%
PUSH7,102,0x66,    294,0.01%
PUSH9,104,0x68,    271,0.01%
GASPRICE, 58,0x3a,    270,0.01%
SWAP12,155,0x9b,    244,0.01%
ORIGIN, 50,0x32,    211,0.01%
BALANCE, 49,0x31,    204,0.01%
SDIV,  5,0x05,    203,0.01%
PUSH14,109,0x6d,    192,0.01%
PUSH22,117,0x75,    192,0.01%
PUSH13,108,0x6c,    186,0.01%
CODESIZE, 56,0x38,    159,0.01%
GASLIMIT, 69,0x45,    158,0.01%
LOG4,164,0xa4,    149,0.01%
SWAP13,156,0x9c,    146,0.01%
PUSH28,123,0x7b,    140,0.01%
SGT, 19,0x13,    117,0.00%
MISSING, 71,0x47,    104,0.00%
PUSH24,119,0x77,    103,0.00%
PUSH17,112,0x70,    101,0.00%
PUSH27,122,0x7a,     85,0.00%
PUSH11,106,0x6a,     68,0.00%
MOD,  6,0x06,     60,0.00%
EXTCODEHASH, 63,0x3f,     60,0.00%
SWAP14,157,0x9d,     59,0.00%
MSTORE8, 83,0x53,     54,0.00%
MISSING, 77,0x4d,     51,0.00%
PUSH18,113,0x71,     50,0.00%
PUSH23,118,0x76,     46,0.00%
BYTE, 26,0x1a,     45,0.00%
DELEGATECALL,244,0xf4,     42,0.00%
SELFDESTRUCT,255,0xff,     39,0.00%
MISSING, 79,0x4f,     37,0.00%
SWAP15,158,0x9e,     36,0.00%
MISSING, 70,0x46,     30,0.00%
XOR, 24,0x18,     29,0.00%
CREATE2,245,0xf5,     28,0.00%
COINBASE, 65,0x41,     26,0.00%
MSIZE, 89,0x59,     26,0.00%
MISSING, 46,0x2e,     21,0.00%
PUSH26,121,0x79,     18,0.00%
MISSING, 95,0x5f,     17,0.00%
CREATE,240,0xf0,     16,0.00%
PUSH31,126,0x7e,     15,0.00%
MISSING, 42,0x2a,     14,0.00%
PUSH25,120,0x78,     13,0.00%
MISSING, 47,0x2f,     12,0.00%
MISSING,226,0xe2,     12,0.00%
CALLCODE,242,0xf2,     12,0.00%
MISSING, 35,0x23,     11,0.00%
MISSING,173,0xad,     11,0.00%
MISSING,179,0xb3,     11,0.00%
MISSING,200,0xc8,     11,0.00%
MISSING,221,0xdd,     11,0.00%
MISSING,239,0xef,     11,0.00%
DIFFICULTY, 68,0x44,     10,0.00%
MISSING, 78,0x4e,      9,0.00%
ADDMOD,  8,0x08,      5,0.00%
MULMOD,  9,0x09,      5,0.00%
MISSING, 39,0x27,      5,0.00%
MISSING, 40,0x28,      5,0.00%
BLOCKHASH, 64,0x40,      5,0.00%
