op,dec,hex,count,percent
PUSH5,100,0x64,   1085,0.02%
DUP12,139,0x8b,   1042,0.02%
DUP13,140,0x8c,    965,0.01%
SWAP9,152,0x98,    598,0.01%
BALANCE, 49,0x31,    532,0.01%
NUMBER, 67,0x43,    532,0.01%
PUSH13,108,0x6c,    506,0.01%
STATICCALL,250,0xfa,    373,0.01%
DUP15,142,0x8e,    344,0.01%
DUP14,141,0x8d,    313,0.00%
SLT, 18,0x12,    295,0.00%
PUSH8,103,0x67,    279,0.00%
PUSH31,126,0x7e,    272,0.00%
PUSH16,111,0x6f,    256,0.00%
SHR, 28,0x1c,    248,0.00%
DUP16,143,0x8f,    236,0.00%
SWAP11,154,0x9a,    230,0.00%
SWAP10,153,0x99,    224,0.00%
DELEGATECALL,244,0xf4,    200,0.00%
PUSH15,110,0x6e,    175,0.00%
CREATE,240,0xf0,    161,0.00%
SELFDESTRUCT,255,0xff,    154,0.00%
PUSH10,105,0x69,    136,0.00%
PUSH19,114,0x72,    134,0.00%
PUSH21,116,0x74,    133,0.00%
BYTE, 26,0x1a,    128,0.00%
PUSH28,123,0x7b,    125,0.00%
PUSH6,101,0x65,    123,0.00%
PUSH7,102,0x66,    121,0.00%
SWAP12,155,0x9b,    121,0.00%
MSTORE8, 83,0x53,    108,0.00%
ORIGIN, 50,0x32,     88,0.00%
PUSH22,117,0x75,     84,0.00%
SWAP13,156,0x9c,     84,0.00%
MISSING, 73,0x49,     75,0.00%
PUSH14,109,0x6d,     73,0.00%
PUSH24,119,0x77,     64,0.00%
PUSH12,107,0x6b,     59,0.00%
GASPRICE, 58,0x3a,     57,0.00%
GASLIMIT, 69,0x45,     57,0.00%
PUSH9,104,0x68,     57,0.00%
MISSING, 71,0x47,     54,0.00%
PUSH17,112,0x70,     54,0.00%
MISSING, 78,0x4e,     50,0.00%
PUSH18,113,0x71,     49,0.00%
MISSING, 79,0x4f,     44,0.00%
LOG4,164,0xa4,     44,0.00%
PUSH11,106,0x6a,     38,0.00%
COINBASE, 65,0x41,     36,0.00%
SWAP15,158,0x9e,     34,0.00%
SGT, 19,0x13,     33,0.00%
MISSING, 76,0x4c,     33,0.00%
DIFFICULTY, 68,0x44,     31,0.00%
PUSH27,122,0x7a,     27,0.00%
MISSING,230,0xe6,     27,0.00%
MISSING,193,0xc1,     26,0.00%
MISSING, 45,0x2d,     24,0.00%
MISSING,187,0xbb,     24,0.00%
SIGNEXTEND, 11,0x0b,     22,0.00%
MISSING, 77,0x4d,     22,0.00%
PUSH23,118,0x76,     22,0.00%
MISSING,181,0xb5,     22,0.00%
