,isInner,id1,id2,raw ssdeep,raw ppdeep,raw ppdeep_mod,raw byteBag,raw lzjd,raw bz,raw jump,raw ncd,raw fourbytes,skeletons ssdeep,skeletons ppdeep,skeletons ppdeep_mod,skeletons byteBag,skeletons lzjd,skeletons bz,skeletons jump,skeletons ncd,skeletons fourbytes,fstSecSkel ssdeep,fstSecSkel ppdeep,fstSecSkel ppdeep_mod,fstSecSkel byteBag,fstSecSkel lzjd,fstSecSkel bz,fstSecSkel jump,fstSecSkel ncd,fstSecSkel fourbytes,fStat ssdeep,fStat ppdeep,fStat ppdeep_mod,fStat byteBag,fStat lzjd,fStat bz,fStat jump,fStat ncd,fStat fourbytes,fStat0 ssdeep,fStat0 ppdeep,fStat0 ppdeep_mod,fStat0 byteBag,fStat0 lzjd,fStat0 bz,fStat0 jump,fStat0 ncd,fStat0 fourbytes,fStatV2 ssdeep,fStatV2 ppdeep,fStatV2 ppdeep_mod,fStatV2 byteBag,fStatV2 lzjd,fStatV2 bz,fStatV2 jump,fStatV2 ncd,fStatV2 fourbytes,fStat0V2 ssdeep,fStat0V2 ppdeep,fStat0V2 ppdeep_mod,fStat0V2 byteBag,fStat0V2 lzjd,fStat0V2 bz,fStat0V2 jump,fStat0V2 ncd,fStat0V2 fourbytes
raw ncd,0.29580442685951314,0.04648305504669479,-0.07320255709798458,0.152338353914683,0.15241944804392205,0.47513245746369026,0.5514304074930617,0.7047335459758823,0.5287693788484398,0.028372811098278106,1.0,0.19803466238137904,0.21888687751121205,0.21878973552560718,0.41869327222179115,0.5383168654028692,0.6656710616112159,0.530085992923053,0.5020869125631056,0.861515906486296,,0.21821606879241903,0.21811991220118074,0.4221225807919212,0.5428945776009186,0.6576013880658321,0.5255918793902592,0.5022117244935569,0.8627267304889525,,0.22094975710056314,0.2204536499153802,0.3802514211672943,0.5337310141989164,0.0968499328963613,0.523682712282092,0.5385225295665507,0.7060885979431452,,0.24721083137818559,0.24700669722047042,0.37711682340494374,0.5337310141989164,0.4447932689318846,0.525843202931072,0.4927454180295299,0.7917648949801471,,0.2209521370184218,0.22045441174816124,0.38135547771886186,0.5335118625508168,0.09664640400511525,0.5237992282492493,0.5382729539864544,0.7064599741415163,,0.24721155355406804,0.24700645824553044,0.3760221920998087,0.5335118625508168,0.44434779401904906,0.525922671262079,0.4930812844931017,0.7921445872342161,
raw fourbytes,0.5160534495287754,0.10596225344994342,0.02865442218766651,0.2567713628245124,0.2568628900626716,0.1536706043595052,0.15877389186414195,0.13921659004767062,0.18541389029480412,0.1248888839036642,0.19803466238137904,1.0,0.267259758165354,0.26737915525537503,0.18346463418346395,0.18216459126282775,0.10835960200029482,0.18721956488491767,0.24238494541290193,0.1976547857753818,,0.26850971653850153,0.26861504028782274,0.1841537883605491,0.18201648942425896,0.10862759291475442,0.19357678731173983,0.24124823579480117,0.19692824368269163,,0.3017612144231174,0.3013198461262753,0.1126820472984584,0.19198028843041035,0.045205913338562206,0.1902181489728463,0.23975806666285288,0.16687506237995872,,0.25317167377993166,0.2532528465355345,0.14176754080323511,0.19198028843041035,0.03858987169747692,0.19151595175233224,0.24684534294529953,0.18076520309309918,,0.3017632432677377,0.30131958075650606,0.11337451538337555,0.19172859359440197,0.04564286061954529,0.19044303272775245,0.2397108248655764,0.16602436709142984,,0.2531725671439148,0.25325245370139493,0.1429512144324658,0.19172859359440197,0.038008588356464576,0.1914620017392523,0.2462546940356548,0.18048492035466038,
skeletons ssdeep,0.4287654107283902,0.03899576436866549,-0.01770481222027579,0.5474744174115712,0.547769606940446,0.2037222158635884,0.21335097911962395,0.21372877031624454,0.21249562565564087,0.08965584998380129,0.21888687751121205,0.267259758165354,1.0,0.9973761213550262,0.2752458427375943,0.20840737925910988,0.20581909278084104,0.20904583424879344,0.22371261355606994,0.22269885582167617,,0.9948777467839975,0.9927683218402825,0.2762182304537779,0.20872400271780436,0.20580712732521647,0.2129058822103432,0.22397580248652565,0.22242660160775282,,0.5109925679667625,0.5092292335870348,0.18100162719934387,0.20958042813648048,0.09268490355912426,0.2148489989447751,0.21486089987968246,0.2091229627830808,,0.549033021338005,0.5486734245506735,0.18661927763548036,0.20958042813648048,0.1590843674758352,0.21258727262547283,0.2253233425367652,0.21799486653829706,,0.511001568788161,0.509234285610305,0.18119128139098475,0.2095716825769366,0.09264392274680992,0.21486354491134044,0.21480997200435287,0.20937318631997837,,0.5490356045338182,0.5486740870020239,0.18730226570153258,0.2095716825769366,0.1591383281312958,0.21258424330382783,0.22528361539295297,0.2181293913476338,
skeletons ppdeep,0.42866435581016055,0.03921883298174555,-0.017469808963196276,0.5471447044042961,0.547460215284147,0.2037462917140835,0.2134332567958438,0.21362170450794102,0.21259777494152535,0.08965431311296893,0.21878973552560718,0.26737915525537503,0.9973761213550262,1.0,0.2758615694049108,0.2086653740214324,0.20568940254767115,0.20907439582817894,0.22354468877580813,0.22264125457051898,,0.9926952413244873,0.9949889594569061,0.2767932753953307,0.20898376325185,0.205672764757987,0.2129446901854268,0.22381261218731285,0.22237220925798568,,0.5109522238997658,0.5092361957482429,0.18125473817694562,0.2098410343775254,0.09243391527261066,0.21492537095730962,0.2147227891856696,0.2090539392434331,,0.5488746269561566,0.5485469117587212,0.18671397341020046,0.2098410343775254,0.15881224830230686,0.21266458526648407,0.22516251291109357,0.21793451120238444,,0.5109613852479463,0.5092407943809054,0.18144592455991182,0.20983143146011482,0.09239289364788048,0.21493951105899864,0.2146698113989948,0.20930328624722294,,0.5488777348245467,0.5485475742549288,0.1873966949441757,0.20983143146011482,0.1588656412292683,0.21266155581254637,0.22513191142117403,0.2180689920364709,
skeletons ppdeep_mod,0.28626182690942986,-0.058842247840063755,-0.06544137926591014,0.1775218110276148,0.17762648230551495,0.6132648309453507,0.6521649573157058,0.49933762323363706,0.5922788003161905,0.08899401496774473,0.41869327222179115,0.18346463418346395,0.2752458427375943,0.2758615694049108,1.0,0.6607877565954999,0.4373992215912082,0.5764287985977925,0.4877787306351704,0.40093946150105697,,0.2748983182969954,0.27552081185053284,0.9671814391431562,0.6573532028458919,0.427435718975369,0.5771286883427263,0.4893562470970909,0.40075891022173915,,0.22983610114218828,0.22935600383622418,0.470872410669518,0.631011536114172,-0.19398194594146112,0.5791072693774477,0.49791089408193784,0.3922762328492702,,0.23256126008457872,0.23242818722913952,0.40895754048096283,0.631011536114172,0.21197965979756453,0.582952359790957,0.48073729007883953,0.4096597686011563,,0.2298392259811089,0.22935719778988325,0.471788643554569,0.6311181534834053,-0.1935857059969649,0.5789828656970746,0.4979500543416935,0.39274519113146417,,0.23256322868207807,0.23242867332915693,0.4056202304022955,0.6311181534834053,0.21174737826671322,0.5829475532445023,0.4809393958632216,0.40949369457337137,
skeletons byteBag,0.27417672905477647,-0.06208750377397806,-0.07044170884201602,0.14955502696060488,0.14966259245056635,0.6717141997096568,0.858736233286238,0.6389703792429237,0.7729896580806814,0.1524192180784208,0.5383168654028692,0.18216459126282775,0.20840737925910988,0.2086653740214324,0.6607877565954999,1.0,0.5371289395667789,0.7665930586744066,0.610485229552781,0.5144713804313624,,0.2088169702248973,0.20907166428442953,0.661997875410395,0.9764257820106987,0.5224922151285238,0.7621107661829519,0.6117575226744246,0.5145594940559586,,0.21102325240284828,0.21078145841984358,0.5468910790882342,0.8854543421767874,-0.21596952459255492,0.7546471496033481,0.6138043186911464,0.5088812335794177,,0.20622072410595713,0.20627972342528525,0.526981048828261,0.8854543421767874,0.26465202040947966,0.7646853996030416,0.5983152409834429,0.532592200130922,,0.2110248994466755,0.21078233892170645,0.5478089765828933,0.8857023182037143,-0.2158141880614016,0.7540502768878146,0.6139165890843126,0.509852176055754,,0.20622284871426821,0.20628024768195585,0.5239312802225295,0.8857023182037143,0.2645725748493409,0.7646278699331971,0.5985779103272144,0.5323458044253542,
skeletons lzjd,0.2542929071169817,-0.02129819619840935,-0.1130520502034218,0.15089769836476968,0.15097572506441395,0.47722080552619434,0.5453651060223114,0.7908339349912398,0.5406282229389981,-0.022202911322625665,0.6656710616112159,0.10835960200029482,0.20581909278084104,0.20568940254767115,0.4373992215912082,0.5371289395667789,1.0,0.5453074165716556,0.4717155762392486,0.6135357269417546,,0.20488661203478903,0.20477346659816045,0.4423595273159823,0.5463400210515281,0.9610401817115692,0.5403753417022616,0.47511894973120317,0.6181088013126496,,0.2127170965689799,0.21220653492867153,0.4240766644789977,0.5319664481135228,0.1138222135656891,0.530746524453929,0.5291229718154074,0.6891313959610319,,0.23600971864336603,0.235513826048812,0.32673543170511893,0.5319664481135228,0.6249737757884566,0.5473998459080545,0.46402264310719055,0.6912608008264169,,0.21271884581496467,0.21220726766981557,0.4251255597797552,0.5316991042611683,0.11335144285351005,0.530887786295769,0.528979799804546,0.6889637139962724,,0.23601110372346323,0.2355142217786238,0.32616095240948023,0.5316991042611683,0.6248152373644162,0.5473952097559485,0.4644440705469032,0.6909173732741263,
skeletons bz,0.2702365566239908,-0.03461995724185613,-0.05962442975566988,0.14898902027767627,0.14905632382425416,0.6111219172401688,0.7314946135358468,0.6364765305677526,0.8784766336259138,0.13783073939279145,0.530085992923053,0.18721956488491767,0.20904583424879344,0.20907439582817894,0.5764287985977925,0.7665930586744066,0.5453074165716556,1.0,0.6837825555229131,0.49906784503937834,,0.20935558412860242,0.2093866284966429,0.5834500886699909,0.7771396651109775,0.5388596745373384,0.9404129283613021,0.6881008646111145,0.5005316665088989,,0.20499830886922873,0.2045955903528626,0.5278803348263534,0.7606805285834721,-0.1783469650931782,0.8431208133228751,0.6842247879312388,0.5410821119466506,,0.20078717960053052,0.2008463138873813,0.492567589097101,0.7606805285834721,0.3297583907398449,0.8996857074319359,0.6730331450856895,0.5441988821296988,,0.20499842895517278,0.20459573108856896,0.5289835384361337,0.7606902330927592,-0.17835624659503851,0.8428423062926297,0.6844313846461584,0.5418498238796451,,0.20078783476690779,0.20084621852111603,0.4895548401404948,0.7606902330927592,0.3295638222724771,0.8997283431824713,0.6730940368395035,0.5442905710635619,
skeletons jump,0.25564785750901836,0.025179601138135728,-0.03555135841115356,0.144349276510335,0.1444476897271798,0.5162964636184663,0.586326316766136,0.5362358263497373,0.6666365327937556,0.16342008144104395,0.5020869125631056,0.24238494541290193,0.22371261355606994,0.22354468877580813,0.4877787306351704,0.610485229552781,0.4717155762392486,0.6837825555229131,1.0,0.4893380079041486,,0.22245029520276396,0.22227364399430313,0.48843390498818007,0.6103061580281062,0.4613277847122397,0.678561838792228,0.9543559496647724,0.4873296707180498,,0.21519366415672087,0.21467197716329692,0.4115058971548083,0.5952757234897232,-0.11118144380966917,0.6799038606742952,0.7110439665914724,0.49304001834673805,,0.2188564576544512,0.21881065608707373,0.4430681239579308,0.5952757234897232,0.27916591746201525,0.6714555684117585,0.8212902320557498,0.5151307501536962,,0.21519332708135677,0.21467255917403677,0.4123461399899379,0.595079863578796,-0.1115907649939111,0.6801232166053,0.7111778317273627,0.4929502176610653,,0.21885622001794827,0.21881016603984774,0.44092745019350965,0.595079863578796,0.27895996445304055,0.6714372625614872,0.8210857671827255,0.5151773645821446,
skeletons ncd,0.2805375179325177,0.06991062633050303,-0.02304240579975493,0.1520505901158754,0.15213756298823475,0.44802589083093997,0.5241781715729252,0.6400113177260693,0.49378403395851517,0.04903064008723345,0.861515906486296,0.1976547857753818,0.22269885582167617,0.22264125457051898,0.40093946150105697,0.5144713804313624,0.6135357269417546,0.49906784503937834,0.4893380079041486,1.0,,0.22191835638368665,0.22185647684620327,0.40320129035774654,0.5167916055226958,0.6045855242638715,0.4939802510872225,0.4882447856880567,0.9787610268201459,,0.21945579808671725,0.218999177283128,0.3449820394342005,0.5132017710637615,0.07480198072776444,0.49186546655464036,0.5143440373193015,0.6620791829215816,,0.25013151628806496,0.24987218320093071,0.38724556286878137,0.5132017710637615,0.38337811007159367,0.4930023070071102,0.48145100345062963,0.76836312662434,,0.21945795199211016,0.2190003505906788,0.3460385328727311,0.5128893649688872,0.07465698045116528,0.49206235868230125,0.5140679017964517,0.6618094748879154,,0.25013193581583687,0.24987198191351917,0.3866792866308604,0.5128893649688872,0.38278404795843896,0.4930334714807747,0.4816353815022422,0.7683185831217211,
skeletons fourbytes,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fstSecSkel ssdeep,0.4301009800654073,0.03816481929364034,-0.018527302447588014,0.5491672349771545,0.549481085452275,0.2041888245186818,0.21378429271316787,0.21320937534499193,0.21273610541082652,0.08901727261343771,0.21821606879241903,0.26850971653850153,0.9948777467839975,0.9926952413244873,0.2748983182969954,0.2088169702248973,0.20488661203478903,0.20935558412860242,0.22245029520276396,0.22191835638368665,,1.0,0.9973689367078513,0.27650405751481827,0.20912151539203538,0.20486893856645974,0.21308821305265133,0.22271057841509487,0.2216346111429205,,0.512517820568127,0.510748982349968,0.1817244091208756,0.20942507935904792,0.09113886315402515,0.21505045757040753,0.21449622546581396,0.20809040676085683,,0.5449994997763075,0.5447529207129967,0.18626387045622186,0.20942507935904792,0.15798707580877702,0.21296046634414617,0.22469034855701456,0.2170839640828636,,0.5125269533629987,0.5107541286114107,0.18191499283406817,0.20941787764232483,0.09109720625111832,0.21506428913553974,0.21444593373722362,0.20833992888587885,,0.5450021598675914,0.5447535855289101,0.18694685041613812,0.20941787764232483,0.15804156471132902,0.21295767964079168,0.22465281300515905,0.21721914309967758,
fstSecSkel ppdeep,0.42999398269320815,0.0383597186713395,-0.018305058960820377,0.5488532300993346,0.5491717975819452,0.20423474802601355,0.2138531362464659,0.21312084796944672,0.21284593368438756,0.08899676096195919,0.21811991220118074,0.26861504028782274,0.9927683218402825,0.9949889594569061,0.27552081185053284,0.20907166428442953,0.20477346659816045,0.2093866284966429,0.22227364399430313,0.22185647684620327,,0.9973689367078513,1.0,0.27714528870515304,0.20937744176409231,0.20474983757200818,0.2131214680812101,0.22254027779828853,0.22157536413378065,,0.5125000740659944,0.5107589714605809,0.18197768386517668,0.20968502246229753,0.0909043414208211,0.21512944468787304,0.2143520871253201,0.20802919119907984,,0.5448520054119395,0.5446543321731394,0.18637625575711622,0.20968502246229753,0.15774722514541675,0.2130320837301711,0.22452296343190078,0.21702612237138147,,0.5125092073413188,0.5107636363426423,0.18216981849768726,0.20967703630278864,0.09086245500664498,0.21514292578833139,0.21429968303686242,0.2082784441231313,,0.5448550960047388,0.5446549970351101,0.18705906792359803,0.20967703630278864,0.1578013333763509,0.21302929689021555,0.22449399473584128,0.21716148384114528,
