,isInner,id1,id2,group1,group2,ppdeep-significantAndZero,ppdeep-significantOnly,ppdeep-skeleton,byteBag-significantOnly,byteBag-skeleton,lzjd1-significantAndZero,lzjd1-significantOnly,lzjd1-skeleton
89,True,AggregationRouterV3 - 1 0.5.16.hex,AggregationRouterV3 - no 0.8.4.hex,AggregationRouterV3,AggregationRouterV3,73.86363636363636,54.666666666666664,41.935483870967744,0.7507788161993769,0.7207269381182425,0.4610526315789474,0.4,0.244228432563791
90,True,AggregationRouterV3 - 1 0.5.16.hex,AggregationRouterV3 - 999999 0.7.6.hex,AggregationRouterV3,AggregationRouterV3,72.82608695652173,66.0,60.0,0.9145907473309609,0.7192068316688377,0.49892008639308855,0.5161290322580645,0.271260086902545
91,True,AggregationRouterV3 - 1 0.5.16.hex,AggregationRouterV3 - no 0.6.12.hex,AggregationRouterV3,AggregationRouterV3,73.86363636363636,53.94736842105263,41.666666666666664,0.8514851485148515,0.7483964661745129,0.4488517745302714,0.44680851063829785,0.257985257985258
92,True,AggregationRouterV3 - 1 0.5.16.hex,AggregationRouterV3 - 1 0.7.6.hex,AggregationRouterV3,AggregationRouterV3,81.31868131868131,64.0,66.36363636363637,0.9395017793594306,0.8399171475070276,0.5370786516853933,0.5658914728682171,0.38191632928475033
93,True,AggregationRouterV3 - 1 0.5.16.hex,AggregationRouterV3 - no 0.5.16.hex,AggregationRouterV3,AggregationRouterV3,73.33333333333333,55.12820512820513,40.32258064516129,0.8562091503267973,0.7295215869311552,0.4488517745302714,0.5223880597014925,0.2603076923076923
94,True,AggregationRouterV3 - 1 0.5.16.hex,AggregationRouterV3 - 999999 0.5.16.hex,AggregationRouterV3,AggregationRouterV3,76.92307692307692,66.0,48.4375,0.9739776951672863,0.8693215339233038,0.4956896551724138,0.9029126213592233,0.3960463531015678
95,True,AggregationRouterV3 - 1 0.5.16.hex,AggregationRouterV3 - 1 0.8.4.hex,AggregationRouterV3,AggregationRouterV3,76.40449438202248,64.0,61.111111111111114,0.8272425249169435,0.8345281638624725,0.49892008639308855,0.5151515151515151,0.338562091503268
96,True,AggregationRouterV3 - no 0.7.6.hex,AggregationRouterV3 - 999999 0.6.12.hex,AggregationRouterV3,AggregationRouterV3,73.62637362637363,63.41463414634146,48.611111111111114,0.8486842105263158,0.6518947500944228,0.5,0.47619047619047616,0.2541334966319657
97,True,AggregationRouterV3 - no 0.7.6.hex,AggregationRouterV3 - no 0.8.4.hex,AggregationRouterV3,AggregationRouterV3,96.51162790697674,84.0,86.41975308641975,0.8870967741935484,0.9275,0.7451403887688985,0.75,0.6423416198877305
98,True,AggregationRouterV3 - no 0.7.6.hex,AggregationRouterV3 - 999999 0.7.6.hex,AggregationRouterV3,AggregationRouterV3,74.44444444444444,62.96296296296296,48.611111111111114,0.8514851485148515,0.6505917904809871,0.5050709939148073,0.4461538461538462,0.2572130141190915
99,True,AggregationRouterV3 - no 0.7.6.hex,AggregationRouterV3 - no 0.6.12.hex,AggregationRouterV3,AggregationRouterV3,94.18604651162791,100.0,92.40506329113924,1.0,0.9987251402345741,0.7082452431289641,1.0,0.6502820306204674
100,True,AggregationRouterV3 - no 0.7.6.hex,AggregationRouterV3 - 1 0.7.6.hex,AggregationRouterV3,AggregationRouterV3,73.03370786516854,57.333333333333336,38.59649122807018,0.832258064516129,0.6610354885755956,0.425,0.44285714285714284,0.20470588235294118
101,True,AggregationRouterV3 - no 0.7.6.hex,AggregationRouterV3 - no 0.5.16.hex,AggregationRouterV3,AggregationRouterV3,85.22727272727272,85.22727272727272,70.37037037037037,0.9634551495016611,0.9512580527531299,0.5843137254901961,0.5454545454545454,0.4883720930232558
102,True,AggregationRouterV3 - no 0.7.6.hex,AggregationRouterV3 - 999999 0.5.16.hex,AggregationRouterV3,AggregationRouterV3,76.40449438202248,58.75,51.80722891566265,0.8716216216216216,0.7583459787556904,0.5206611570247934,0.4961832061068702,0.31197950032030747
103,True,AggregationRouterV3 - no 0.7.6.hex,AggregationRouterV3 - 1 0.8.4.hex,AggregationRouterV3,AggregationRouterV3,71.26436781609195,56.0,33.33333333333333,0.8306709265175719,0.6377259752616555,0.4262295081967213,0.42857142857142855,0.20541494997057091
104,True,AggregationRouterV3 - 999999 0.6.12.hex,AggregationRouterV3 - no 0.8.4.hex,AggregationRouterV3,AggregationRouterV3,73.62637362637363,65.4320987654321,47.945205479452056,0.7484472049689441,0.6205871864970879,0.4909090909090909,0.4307692307692308,0.23003003003003003
105,True,AggregationRouterV3 - 999999 0.6.12.hex,AggregationRouterV3 - 999999 0.7.6.hex,AggregationRouterV3,AggregationRouterV3,92.63157894736842,76.0,92.1875,0.9962962962962963,0.9950841368878806,0.7446808510638298,0.8058252427184466,0.5925349922239502
