,isInner,id1,id2,raw ssdeep,raw ppdeep,raw ppdeep_mod,raw byteBag,raw lzjd,raw bz,raw jump,raw ncd,raw fourbytes,skeletons ssdeep,skeletons ppdeep,skeletons ppdeep_mod,skeletons byteBag,skeletons lzjd,skeletons bz,skeletons jump,skeletons ncd,skeletons fourbytes,fstSecSkel ssdeep,fstSecSkel ppdeep,fstSecSkel ppdeep_mod,fstSecSkel byteBag,fstSecSkel lzjd,fstSecSkel bz,fstSecSkel jump,fstSecSkel ncd,fstSecSkel fourbytes,fStat ssdeep,fStat ppdeep,fStat ppdeep_mod,fStat byteBag,fStat lzjd,fStat bz,fStat jump,fStat ncd,fStat fourbytes,fStat0 ssdeep,fStat0 ppdeep,fStat0 ppdeep_mod,fStat0 byteBag,fStat0 lzjd,fStat0 bz,fStat0 jump,fStat0 ncd,fStat0 fourbytes,fStatV2 ssdeep,fStatV2 ppdeep,fStatV2 ppdeep_mod,fStatV2 byteBag,fStatV2 lzjd,fStatV2 bz,fStatV2 jump,fStatV2 ncd,fStatV2 fourbytes,fStat0V2 ssdeep,fStat0V2 ppdeep,fStat0V2 ppdeep_mod,fStat0V2 byteBag,fStat0V2 lzjd,fStat0V2 bz,fStat0V2 jump,fStat0V2 ncd,fStat0V2 fourbytes
raw ncd,0.139806200675143,0.01694617356600867,0.009830003385278629,0.07505683989425686,0.075058431749555,0.35016243859320545,0.4544901512867267,0.607575898851208,0.35888766377172693,-0.09121419569548457,1.0,0.3154438664673119,0.12228968126505624,0.12093417466913622,0.3174350864079103,0.4836668184068672,0.6246181303297752,0.4117089473019084,0.49044525732033684,0.7953397217385186,,0.12288866071214945,0.12162841967093206,0.3098694656236482,0.48184930740141574,0.6273547841632602,0.3805285876329235,0.48741794846119363,0.7872322658117046,,0.1292286982080266,0.12921470761345158,0.2871002747134886,0.4175391252099412,0.294831627338408,0.343515385394708,0.47618396239655975,0.5978421524963465,,0.20808888428559916,0.20796476025513272,0.35794128463829955,0.4175391252099412,0.4793543031652825,0.38514442210559935,0.48789332845865585,0.6927528408455345,,0.12922957383803654,0.12921391516241923,0.28993200207725,0.41717045568001293,0.2938631894971202,0.3440344150892819,0.47634161934539887,0.5974368701463286,,0.20983403824240696,0.2097035509339754,0.3667823577931558,0.41717045568001293,0.4791949771790567,0.3850202362424511,0.48771731053921535,0.692948248348011,
raw fourbytes,0.1667575225538682,-0.043450532172246044,0.008701788403478895,0.08840010666955345,0.08840129941667954,0.12094964405313308,0.09373205961064962,0.17621847298161403,0.136094171888547,-0.07385979845128166,0.3154438664673119,1.0,-0.0452195671895216,-0.047883229203213626,0.07572955022527304,0.14839988906036505,0.1929462622185669,0.2014841149809711,0.24080554186710454,0.22134171987495824,,-0.04472219041871931,-0.047297723967179905,0.0720228350796753,0.14733375358719936,0.19445369654521252,0.1841883493428443,0.23863263345075408,0.21827906260491173,,0.1452951379931735,0.14528726204896292,0.12495103410908015,0.14673636617458058,0.17871239696303626,0.1635232819836823,0.25968262263479164,0.20875126913234768,,0.22142609353556847,0.22124771818031028,0.2512724962323749,0.14673636617458058,0.17096726806621226,0.18584093346777064,0.24435497986558155,0.1969905038077116,,0.14529642758403247,0.14528606071116962,0.1273470471606524,0.14652181089044075,0.17804712752720578,0.1641145007547892,0.25992397685856455,0.20858766161868111,,0.22341413496191986,0.22322945394864716,0.2634651185850371,0.14652181089044075,0.170703876634204,0.1857512413971619,0.24432922103376395,0.19669778432160231,
skeletons ssdeep,0.16483999281621994,0.15609184863121728,0.10784037525786151,0.13878729289336625,0.13878878104839967,0.09835877440794363,0.14079848043260304,0.1647716014141217,0.04397096704711776,0.10011156341289607,0.12228968126505624,-0.0452195671895216,1.0,0.9557713102905044,0.23536842693850438,0.12244819521896969,0.11464448252675757,0.037092486607565686,0.14967575507791062,0.1498883537592993,,0.9939995907801498,0.955337102507988,0.2366889505978126,0.11541529594125356,0.1138516039739798,0.03616969987295973,0.1499542726853101,0.1454553273114376,,0.1659485824340484,0.1659056031570893,0.03174841393767621,0.08535225217246778,0.008834535339635978,0.020945066092927518,0.060618842550299756,0.11883347363299833,,0.15514542359646005,0.15498747439270857,-0.006309211177434209,0.08535225217246778,0.097214560047258,0.032361315098867444,0.1432043348865328,0.18226345770078223,,0.16594960334559536,0.16590636081348412,0.031547801262532635,0.08502569862615621,0.006939313759784353,0.020414676021887596,0.06032476252260423,0.1185806312578456,,0.15185834729688266,0.15169681808467766,-0.008770110620613343,0.08502569862615621,0.09681380599256129,0.03234791199761196,0.14331993945035687,0.1822165138690821,
skeletons ppdeep,0.16370064238017074,0.1540701999831721,0.10733786756821763,0.1390489610683956,0.13905069108740672,0.09908709264785338,0.14584732768282593,0.16838604995364664,0.04593190524751472,0.10052301857316352,0.12093417466913622,-0.047883229203213626,0.9557713102905044,1.0,0.2515446476438467,0.12857006576142188,0.11782765525243599,0.03818216760850394,0.14712166433737892,0.14854427718051,,0.954524394760421,0.9951670699621802,0.25195142826398653,0.12153713622268476,0.1171250207772084,0.037505512966569635,0.14739280373383537,0.1441031403823071,,0.16552360970014898,0.16548230943101963,0.034274580009985636,0.08977951992799565,0.0031535776030987717,0.02250024586261002,0.05816551604941373,0.11813554537608499,,0.1555255736918809,0.15540555516027696,-0.007243430093852979,0.08977951992799565,0.10224272435821452,0.03372534994621367,0.14088336825890402,0.1811903861981434,,0.1655248281451174,0.16548269884478392,0.03408032827056869,0.08940739574177908,0.0011345688311631208,0.02203076237306952,0.057880906818471106,0.11786833286684002,,0.1522348744615758,0.15211148971300711,-0.009522189876674142,0.08940739574177908,0.10203365160329927,0.03372212240395687,0.14102996587136496,0.1812238106587211,
skeletons ppdeep_mod,0.11718377234994792,0.0017576475884688893,-0.0365760874625381,0.07657046347744326,0.07657187063559094,0.3272483693558712,0.4494197093387354,0.4304992579461977,0.26911551822697277,-0.06824392309335921,0.3174350864079103,0.07572955022527304,0.23536842693850438,0.2515446476438467,1.0,0.4684897484735514,0.4377127501939571,0.31626815414413956,0.3628608828180559,0.31459747028487095,,0.2356704176181015,0.2513357419156676,0.9532536001292514,0.45206711580168063,0.4304614412528137,0.2721490791126831,0.3640906199349835,0.30225196970997,,0.11962034537177284,0.11959937551054708,0.30707030085568016,0.36802826879674116,0.05357091659855682,0.24229579823147995,0.3178291522966394,0.321440184946701,,0.11961897363485316,0.119626011262607,0.2071101029549021,0.36802826879674116,0.4152295647644042,0.27864945654688134,0.3604336124624685,0.359970975577108,,0.11962075540422604,0.11959945699532804,0.3070377517328897,0.36889261044343263,0.05515207408741491,0.24288275108354543,0.31744688697225487,0.32322786077662197,,0.12105244830819403,0.12106253297726173,0.21680848921651927,0.36889261044343263,0.41498853528540863,0.27834591099769296,0.3602463125768978,0.35924034471718747,
skeletons byteBag,0.13216457629961761,0.04774733732382487,0.0213775193798081,0.07486202116042459,0.07486289652554648,0.49979187930573166,0.7170470947275444,0.6561617979454861,0.501629413819449,-0.13636260698401362,0.4836668184068672,0.14839988906036505,0.12244819521896969,0.12857006576142188,0.4684897484735514,1.0,0.6486018017482312,0.5256143716730294,0.42707975096602896,0.4515701401583901,,0.12285882355464506,0.1292958438076091,0.4650074299635838,0.9645256335533551,0.642590204962263,0.48152403128257143,0.4290633135586514,0.44215956162384046,,0.12624609113107493,0.12623961864975247,0.49511456825303296,0.707038980135468,0.0650577120953905,0.49462873313847855,0.4143211956863528,0.513342924912259,,0.16428121830552606,0.1642762404974538,0.3582647629596911,0.707038980135468,0.6980116676978031,0.5000680356716554,0.429335752663429,0.5360029514267439,,0.12624701425660256,0.1262389422067642,0.49639702692203536,0.7071300093895978,0.06421196823960676,0.4955264460654971,0.4142765590809034,0.5143465393837798,,0.16536293567780755,0.165353426503857,0.36493120732695755,0.7071300093895978,0.6982601571767265,0.4998606347189061,0.42912440150740977,0.5360488283704488,
skeletons lzjd,0.13038627704800979,-0.014044577902302062,-0.020033735272285844,0.07549864012999286,0.07550127551661936,0.43783827993686064,0.6458735475194111,0.7438498097718441,0.4293108634194303,-0.12149373141130668,0.6246181303297752,0.1929462622185669,0.11464448252675757,0.11782765525243599,0.4377127501939571,0.6486018017482312,1.0,0.47727363433436226,0.4968414543780079,0.631696389941952,,0.11511185454587762,0.1186761842204301,0.4305231512488131,0.6375914890525405,0.9644548465625277,0.43623559726467415,0.4963444053628161,0.6203240763645622,,0.1319690814490618,0.13195405589071685,0.41744537678820365,0.5473706047226864,0.20516544798865868,0.4342358083259267,0.49169332268899196,0.5914482017397663,,0.20063986031635087,0.2006656749372587,0.397551536742826,0.5473706047226864,0.664641365397796,0.4445861259783409,0.49434446069304944,0.6453340474484492,,0.13196986096946323,0.1319535463103563,0.42046140743687777,0.5478901033036496,0.20555852492537893,0.4347959050725613,0.4918526977735948,0.5936205742699739,,0.20290088013539825,0.2029219672581876,0.40849333717061076,0.5478901033036496,0.6642731457110351,0.4443326810775775,0.4943433254583969,0.6455506237796089,
skeletons bz,0.13550391289991928,0.020750787780440108,-0.017839331819259927,0.0748393032996892,0.07484040765769046,0.4167785003007673,0.41734844880154787,0.45506367276814425,0.7224447794262542,-0.18113744149450975,0.4117089473019084,0.2014841149809711,0.037092486607565686,0.03818216760850394,0.31626815414413956,0.5256143716730294,0.47727363433436226,1.0,0.5367825645409682,0.3793565998016378,,0.03769992226105604,0.03918653150676027,0.31470010184228375,0.515813600301514,0.47278300465370426,0.8815133673303668,0.5383942050850635,0.3727623405960898,,0.12744657057562855,0.12743250605564177,0.42642196788886855,0.5554099639357507,0.16790971738017557,0.6711413824569616,0.5502961578587178,0.4685273209170077,,0.16411479994898093,0.16393547462296257,0.43528040317442307,0.5554099639357507,0.543820570723593,0.7917523423165745,0.5312839239478657,0.4368464124049894,,0.12744696630851227,0.127432043844742,0.428599127095213,0.5560442243466955,0.16959896430203225,0.6712232505929732,0.5506935822625978,0.4697793666029529,,0.16593400503340353,0.16575314059130156,0.4422460531318244,0.5560442243466955,0.5438075044100008,0.7917161890447209,0.5312064040202634,0.4366529850901114,
skeletons jump,0.13607972805720883,0.015450981923720384,-0.012175060706301534,0.07499178183298073,0.07499246936123292,0.3455393463378275,0.3467533675999152,0.45797174214806036,0.4618480797543136,-0.13293311344031428,0.49044525732033684,0.24080554186710454,0.14967575507791062,0.14712166433737892,0.3628608828180559,0.42707975096602896,0.4968414543780079,0.5367825645409682,1.0,0.4662123891910712,,0.1502985326368504,0.1480884942103402,0.35332079073188216,0.40439119035896537,0.4843394855781179,0.47591304991932915,0.9825434760066346,0.44993051310092363,,0.12946532245364967,0.1294458599787067,0.31892192752576287,0.41287489446389963,0.3187621226607422,0.46666605426912117,0.6880526396596489,0.47399777628902445,,0.20207344029738297,0.20188084494598704,0.40989046020549424,0.41287489446389963,0.4809525983592156,0.47222771583021145,0.8560277252112108,0.49246794294666585,,0.12946541949392054,0.12944570051720306,0.32070654648230473,0.4129887761012859,0.3188905946359919,0.4673566273846769,0.6875183674913782,0.4746774382718594,,0.20462118167413956,0.20442677040243099,0.41840886968585783,0.4129887761012859,0.4807463347331014,0.471990238030058,0.8562444386831609,0.4917243058803603,
skeletons ncd,0.13645293160367575,0.01996628177320216,-0.008664909593077537,0.07492188001453069,0.07492187402549873,0.3246456216996357,0.45092628833359405,0.5900742496824287,0.33195690650611165,-0.07960360327859135,0.7953397217385186,0.22134171987495824,0.1498883537592993,0.14854427718051,0.31459747028487095,0.4515701401583901,0.631696389941952,0.3793565998016378,0.4662123891910712,1.0,,0.15039649778973074,0.14931540411107333,0.30659144138338934,0.447700559349441,0.6342633022146829,0.348226486086236,0.46309137684601304,0.9669012202965428,,0.12767459248076515,0.12765816808260905,0.2599562385404915,0.3843038147397846,0.2884003161383386,0.3139103331209961,0.4460545730134955,0.612123355801195,,0.2095151802855364,0.2094019844585051,0.3211914983006891,0.3843038147397846,0.4590702439048325,0.3504671848287744,0.4629541976983015,0.7335451899856857,,0.12767548883225877,0.12765729710707546,0.2626385146680643,0.3841462272129715,0.2880532718758775,0.3142137858604143,0.4461915933362971,0.6118580731297681,,0.2114391506872946,0.21131856208355368,0.3306536685810238,0.3841462272129715,0.4590820987175742,0.3503645625112752,0.46282086749515783,0.7338867470541206,
