,isInner,id1,id2,group1,group2,raw ssdeep,raw ppdeep,raw ppdeep_mod,raw byteBag,raw lzjd,raw bz,raw jump,raw ncd,raw lev,raw fourbyte,skeletons ssdeep,skeletons ppdeep,skeletons ppdeep_mod,skeletons byteBag,skeletons lzjd,skeletons bz,skeletons jump,skeletons ncd,skeletons lev,skeletons fourbyte,fstSecSkel ssdeep,fstSecSkel ppdeep,fstSecSkel ppdeep_mod,fstSecSkel byteBag,fstSecSkel lzjd,fstSecSkel bz,fstSecSkel jump,fstSecSkel ncd,fstSecSkel lev,fstSecSkel fourbyte,fStat ssdeep,fStat ppdeep,fStat ppdeep_mod,fStat byteBag,fStat lzjd,fStat bz,fStat jump,fStat ncd,fStat lev,fStat fourbyte,fStat0 ssdeep,fStat0 ppdeep,fStat0 ppdeep_mod,fStat0 byteBag,fStat0 lzjd,fStat0 bz,fStat0 jump,fStat0 ncd,fStat0 lev,fStat0 fourbyte
253,False,252638781,390726882,ambi wallet,smart GnosisSafe,0,0,24.0,0.17737003058103976,0.29411764705882354,0.2857142857142857,0.0,0.08636363636363636,0.09243697478991597,0.0,0,0,22.0,0.2974683544303797,0.42857142857142855,0.2857142857142857,0.0,0.1506849315068493,0.16246498599439774,1,0,0,22.0,0.2974683544303797,0.42857142857142855,0.2857142857142857,0.0,0.14788732394366197,0.1847133757961783,1,0,0,9.0,0.5,0.5,0.1428571428571429,0.0,0.16666666666666666,0.34615384615384615,1,0,0,20.0,0.5,0.41935483870967744,0.1428571428571429,0.0,0.3492063492063492,0.2420382165605095,1
254,False,252638781,380260548,ambi wallet,smart GnosisSafe,0,0,24.0,0.17771084337349397,0.25,0.2857142857142857,0.0,0.08,0.0881542699724518,0.0,0,0,22.0,0.29375,0.48148148148148145,0.2857142857142857,0.0,0.14189189189189189,0.15977961432506882,1,0,0,22.0,0.29375,0.48148148148148145,0.2857142857142857,0.0,0.15172413793103448,0.18125000000000002,1,0,0,8.0,0.4827586206896552,0.5,0.2857142857142857,0.0,0.12903225806451613,0.33333333333333337,1,0,0,20.0,0.4827586206896552,0.41935483870967744,0.1428571428571429,0.0,0.328125,0.23750000000000004,1
255,False,252638781,368113519,ambi wallet,smart Julien Niset/Argent,0,0,23.63636363636364,0.2645739910313901,0.30952380952380953,0.25,0.0,0.09045226130653267,0.1448598130841121,1.0,0,0,20.0,0.44761904761904764,0.42857142857142855,0.25,0.0,0.17796610169491525,0.2570093457943925,1,0,0,20.0,0.44761904761904764,0.42857142857142855,0.0,0.0,0.18803418803418803,0.29239766081871343,1,0,0,9.0,0.4375,0.5,0.25,0.25,0.08823529411764706,0.33333333333333337,1,0,0,20.0,0.4375,0.4666666666666667,0.25,0.0,0.36923076923076925,0.42690058479532167,1
256,False,252638781,477996669,ambi wallet,smart GnosisSafe,0,0,24.0,0.21505376344086022,0.26436781609195403,0.2857142857142857,0.0,0.1,0.10067114093959728,0.0,0,0,22.0,0.32608695652173914,0.42857142857142855,0.2857142857142857,0.0,0.17054263565891473,0.18791946308724827,1,0,0,22.0,0.32608695652173914,0.42857142857142855,0.2857142857142857,0.0,0.1746031746031746,0.2196078431372549,1,0,0,9.0,0.4827586206896552,0.5,0.1428571428571429,0.0,0.12903225806451613,0.33333333333333337,1,0,0,20.0,0.4827586206896552,0.4666666666666667,0.1428571428571429,0.0,0.3968253968253968,0.2941176470588235,1
257,False,252638781,649064345,ambi wallet,smart Julien Niset/Argent,0,0,24.0,0.23553719008264462,0.27906976744186046,0.19999999999999996,0.0,0.08796296296296297,0.14347826086956517,1.0,0,0,20.0,0.4067796610169492,0.42857142857142855,0.25,0.0,0.16417910447761194,0.24347826086956526,1,0,0,20.0,0.4067796610169492,0.42857142857142855,0.0,0.0,0.16793893129770993,0.267379679144385,1,0,0,9.0,0.4117647058823529,0.6,0.25,0.25,0.1111111111111111,0.3125,1,0,0,20.0,0.4117647058823529,0.4666666666666667,0.25,0.0,0.34782608695652173,0.39572192513368987,1
258,False,252638781,646985657,ambi wallet,smart Julien Niset/Argent,0,0,24.0,0.23387096774193547,0.3253012048192771,0.19999999999999996,0.0,0.09821428571428571,0.1333333333333333,1.0,0,0,22.0,0.38095238095238093,0.42857142857142855,0.25,0.0,0.1702127659574468,0.23333333333333328,1,0,0,22.0,0.38095238095238093,0.42857142857142855,0.25,0.0,0.17391304347826086,0.2639593908629442,1,0,0,9.0,0.42424242424242425,0.6,0.0,0.25,0.11428571428571428,0.25806451612903225,1,0,0,20.0,0.42424242424242425,0.4666666666666667,0.25,0.0,0.3088235294117647,0.3807106598984772,1
259,False,252638781,641867691,ambi wallet,smart GnosisSafe,0,0,0.0,0.0036878528501183756,0.028037383177570093,0.007547169811320753,0.0,0.005785123966942148,0.0030782029950082723,0.0,0,0,0.0,0.004645760743321719,0.03896103896103896,0.007633587786259555,0.003816793893129722,0.012724879333040808,0.0033277870216306127,1,0,0,0.0,0.004645760743321719,0.03896103896103896,0.007633587786259555,0.003816793893129722,0.012302284710017574,0.003335000833750157,1,0,0,0.0,0.009163802978235968,0.5,0.007633587786259555,0.007633587786259555,0.018,0.00859106529209619,1,0,0,0.0,0.009163802978235968,0.1,0.007633587786259555,0.003816793893129722,0.019867549668874173,0.0035434383858595764,1
260,False,252638781,537425789,ambi wallet,smart GnosisSafe,0,0,24.0,0.20503597122302158,0.26436781609195403,0.2857142857142857,0.0,0.0945273631840796,0.10437710437710435,0.0,0,0,22.0,0.36752136752136755,0.42857142857142855,0.19999999999999996,0.0,0.18518518518518517,0.18518518518518523,1,0,0,22.0,0.36752136752136755,0.42857142857142855,0.19999999999999996,0.0,0.183206106870229,0.22448979591836737,1,0,0,6.0,0.5652173913043478,0.5,0.0,0.0,0.16666666666666666,0.44999999999999996,1,0,0,16.0,0.5652173913043478,0.4666666666666667,0.0,0.0,0.39622641509433965,0.310204081632653,1
261,False,252638781,833378376,ambi wallet,loopring wallet,0,0,0.0,0.06055900621118013,0.26436781609195403,0.032258064516129004,0.0,0.03356481481481482,0.040892193308550207,0.0,0,0,0.0,0.05896510228640193,0.48148148148148145,0.06451612903225812,0.0,0.061752988047808766,0.05427509293680299,1,0,0,0.0,0.05896510228640193,0.48148148148148145,0.06451612903225812,0.0,0.06212424849699399,0.056501547987616085,1,0,0,9.0,0.12096774193548387,0.8461538461538461,0.06451612903225812,0.0,0.08163265306122448,0.08943089430894313,1,0,0,16.0,0.12096774193548387,0.41935483870967744,0.032258064516129004,0.0,0.11891891891891893,0.0619195046439629,1
262,False,252638781,1004645671,ambi wallet,loopring wallet,0,0,0.0,0.1407563025210084,0.4666666666666667,0.08333333333333337,0.08333333333333337,0.06683804627249357,0.092741935483871,0.0,0,0,21.875,0.17557251908396945,0.5686274509803921,0.08333333333333337,0.0,0.12053571428571429,0.12903225806451613,1,0,0,21.538461538461533,0.17557251908396945,0.5686274509803921,0.08333333333333337,0.0,0.12217194570135746,0.1444695259593679,1,0,0,9.0,0.2727272727272727,0.6,0.08333333333333337,0.0,0.10869565217391304,0.19999999999999996,1,0,0,20.0,0.2727272727272727,0.3333333333333333,0.08333333333333337,0.0,0.2289156626506024,0.17381489841986453,1
