,isInner,id1,id2,raw ssdeep,raw ppdeep,raw ppdeep_mod,raw byteBag,raw lzjd,raw bz,raw jump,raw fourbytes,skeletons ssdeep,skeletons ppdeep,skeletons ppdeep_mod,skeletons byteBag,skeletons lzjd,skeletons bz,skeletons jump,skeletons fourbytes,fstSecSkel ssdeep,fstSecSkel ppdeep,fstSecSkel ppdeep_mod,fstSecSkel byteBag,fstSecSkel lzjd,fstSecSkel bz,fstSecSkel jump,fstSecSkel fourbytes,fStat ssdeep,fStat ppdeep,fStat ppdeep_mod,fStat byteBag,fStat lzjd,fStat bz,fStat jump,fStat fourbytes,fStat0 ssdeep,fStat0 ppdeep,fStat0 ppdeep_mod,fStat0 byteBag,fStat0 lzjd,fStat0 bz,fStat0 jump,fStat0 fourbytes
isInner,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raw fourbytes,,-0.10465475185096094,-0.057347369475685236,0.07209443914516281,0.07229786501151482,0.28097043264368404,0.25942427518627265,0.34619030740417017,0.342576750358773,0.0053435891053534865,1.0,0.16014944927450084,0.16136673465537427,0.19936239101287936,0.3627234887510638,0.3500969949716817,0.29811975397696905,0.1395100898580292,,0.16021235157829317,0.16150457208457233,0.18584090451630159,0.33791160541139903,0.33122843363220644,0.2947988955299576,0.125032888037084,,0.14065544815178468,0.12085939425203351,-0.14042616005819664,0.34868900864983965,0.14273029676527105,0.36213706757882774,0.3061243552442421,,0.0752567410790913,0.06718385850835264,0.04038921300929225,0.34868900864983965,-0.15257912429974074,0.2902014031177958,0.12597515775574838,
skeletons ssdeep,,-0.021587527423803453,-0.15385710440510514,0.4924176685000128,0.49217453774229436,0.38278201520767113,0.38395901953949285,0.4214905730034825,0.2830400539454015,0.21628052353157282,0.16014944927450084,1.0,0.9917306755584603,0.48828176094635917,0.3719122208856056,0.43177272624121577,0.31259731745233,0.46627121669884214,,0.9973601830357515,0.9916067247343615,0.4880955015138856,0.3717215821027165,0.4343031207294157,0.31730407639849834,0.46713250609718904,,0.46838619057173647,0.4299736630596466,-0.0551842822821018,0.32403123339220946,0.2951856862681076,0.2860453544029077,0.40310954631536805,,0.6586344528944432,0.628756647615752,0.3772139127676636,0.32403123339220946,0.3597025055290844,0.28149237822699175,0.46905355590268666,
skeletons ppdeep,,-0.022798408562988377,-0.15467825993110054,0.49282025677874647,0.4928387715008591,0.384104134193796,0.3862899492210072,0.42328211249256426,0.28542018333392477,0.21626893406176648,0.16136673465537427,0.9917306755584603,1.0,0.49174915347188397,0.37437989823717,0.4330622400675502,0.31481147858615866,0.4653253889314254,,0.9916634799457441,0.9979465980874316,0.49141375903398693,0.37415997039672405,0.4354888624515687,0.3196891246295848,0.46605495994965396,,0.46748887605719147,0.4295364363398276,-0.05541168700247264,0.32624574647053517,0.29419228068481756,0.28755677663891044,0.40376070412701554,,0.6583424066410246,0.6289451544566481,0.3774688516247715,0.32624574647053517,0.3579594133505399,0.28378601679028853,0.46815080134584725,
skeletons ppdeep_mod,,-0.08501432804423961,-0.17157544848766965,0.27408400171992114,0.2741841579241049,0.5245386566216333,0.6321403749349356,0.6378031835715041,0.369019158813261,0.03384190526676125,0.19936239101287936,0.48828176094635917,0.49174915347188397,1.0,0.5644424510182553,0.6132302912211256,0.3710623204700097,0.3633235316112798,,0.48811827843888284,0.49113056292496504,0.9672934802733669,0.5679867316517065,0.6227482856912657,0.3609068821300752,0.35630074274261925,,0.2910119711364243,0.27085550789079876,0.01345700530138466,0.42766720639667466,0.1712673275803397,0.36938912404012947,0.37268185781574537,,0.4269335750783152,0.41283430797965115,0.3304376652687458,0.42766720639667466,0.08874836457738446,0.35174342421854277,0.3616267571812937,
skeletons byteBag,,-0.1235916816439865,-0.2473665479815518,0.22031882443953274,0.2213772705026183,0.5808888741665591,0.6390215274715885,0.7445157899734298,0.5383311043769874,0.01833991015517807,0.3627234887510638,0.3719122208856056,0.37437989823717,0.5644424510182553,1.0,0.6994302797926051,0.5678247481984241,0.41752104563511616,,0.3717900236884314,0.3743564066617806,0.5551925221065288,0.9771472658786403,0.6815840088644798,0.5546867938260207,0.4071860831212862,,0.32890817827671814,0.30932625071059033,-0.09866691672464672,0.6848897821240383,0.15782069466885754,0.5665439435727079,0.5407446667631685,,0.3393847091055538,0.32918691114022586,0.36964482235317425,0.6848897821240383,-0.06819841047968878,0.5277392669198369,0.411305408062999,
skeletons lzjd,,-0.11867479369553374,-0.24254851946300385,0.26719433723071906,0.2679346017448949,0.5373802456811796,0.6870788570616164,0.7609380879607227,0.5169373352324891,0.046497826853399045,0.3500969949716817,0.43177272624121577,0.4330622400675502,0.6132302912211256,0.6994302797926051,1.0,0.5230653785768018,0.4489939214829699,,0.43162447135716914,0.43299489123244445,0.6042616725345021,0.677265950105947,0.9557786628755951,0.4993956434053035,0.4394753031381964,,0.3486208435679875,0.3249909242082009,-0.09535192303285367,0.5563714525438637,0.22796173289900507,0.5004435098122699,0.5674950585772249,,0.42465504795271186,0.41096785586922124,0.341332196904868,0.5563714525438637,0.08332532434438224,0.4720530994826155,0.44508798808196065,
skeletons bz,,-0.15007270430387645,-0.28647365360876487,0.21227719173694856,0.2128469604983719,0.4293390360088965,0.42890572428207857,0.5153916734298765,0.6823819442386907,-0.010898123217091672,0.29811975397696905,0.31259731745233,0.31481147858615866,0.3710623204700097,0.5678247481984241,0.5230653785768018,1.0,0.3449544796669483,,0.3124158291132568,0.31455080733655655,0.3601708889566011,0.5463206989181097,0.5050898799343471,0.707767796720039,0.3349464103860031,,0.2500025053240262,0.2314071918087493,-0.0918496543195545,0.5504508557534782,0.1573412424469782,0.4735353263763445,0.5429427236522921,,0.2857589821214583,0.27439651683632227,0.2001136634459372,0.5504508557534782,-0.05735857284571542,0.5909143059378873,0.30606545920363654,
skeletons jump,,0.04719713360682021,-0.0877233661794662,0.2658695292827993,0.26588638982493273,0.3528103224701937,0.3405722133876769,0.4369021245186844,0.32694778810324543,0.18069769342649045,0.1395100898580292,0.46627121669884214,0.4653253889314254,0.3633235316112798,0.41752104563511616,0.4489939214829699,0.3449544796669483,1.0,,0.4661343883116584,0.4652070368120206,0.358209604901506,0.40118494526981957,0.4370915224261371,0.3839454288048292,0.9705488252309195,,0.46884460684289125,0.4473700931905867,-0.0680348261429501,0.43508339365908405,0.2822031923147472,0.41660590882785875,0.5085285123293989,,0.48262283995641353,0.4676607773576909,0.5178949249026072,0.43508339365908405,0.2567189245586619,0.3831846422470585,0.8399313144544842,
skeletons fourbytes,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
fstSecSkel ssdeep,,-0.021810553528241405,-0.15409194663544284,0.4913950387243447,0.49119877836930526,0.3824580093294503,0.38399048287337495,0.42126750963964105,0.2830301685483939,0.21628688709039884,0.16021235157829317,0.9973601830357515,0.9916634799457441,0.48811827843888284,0.3717900236884314,0.43162447135716914,0.3124158291132568,0.4661343883116584,,1.0,0.9922655073862919,0.4883071315313053,0.3715993991266489,0.434150368256955,0.31735564033008323,0.46702411905848623,,0.46882382830222374,0.43052501742966764,-0.05489053908149589,0.32397614095285726,0.29489034661266916,0.28582260487722844,0.4031814013188114,,0.6577149156440847,0.6277757513933705,0.3765986297128427,0.32397614095285726,0.35927336731813825,0.28157085422535094,0.4688931147087806,
