,isInner,id1,id2,raw ssdeep,raw ppdeep,raw ppdeep_mod,raw byteBag,raw lzjd,raw bz,raw jump,raw fourbytes,skeletons ssdeep,skeletons ppdeep,skeletons ppdeep_mod,skeletons byteBag,skeletons lzjd,skeletons bz,skeletons jump,skeletons fourbytes,fstSecSkel ssdeep,fstSecSkel ppdeep,fstSecSkel ppdeep_mod,fstSecSkel byteBag,fstSecSkel lzjd,fstSecSkel bz,fstSecSkel jump,fstSecSkel fourbytes,fStat ssdeep,fStat ppdeep,fStat ppdeep_mod,fStat byteBag,fStat lzjd,fStat bz,fStat jump,fStat fourbytes,fStat0 ssdeep,fStat0 ppdeep,fStat0 ppdeep_mod,fStat0 byteBag,fStat0 lzjd,fStat0 bz,fStat0 jump,fStat0 fourbytes
raw fourbytes,,0.06376373733423076,-0.08266652765115347,0.03606478772599079,0.03606478772599079,0.34552755319592404,0.3754355791095802,0.313414324169995,0.523244536949288,-0.26720082714741045,1.0,0.09070708613746752,0.09078669580517967,0.49806342779583807,0.4338001604018457,0.2516114557371682,0.5602300626403314,0.38168523349075995,,0.09162730521007781,0.09171108994772484,0.5022455071375881,0.4338001604018457,0.25049610016535656,0.5563250326568938,0.3812466021985805,,0.11178618808913773,0.1129321438253576,0.1858580749771561,0.4746687958472394,-0.11094399036292574,0.46523001342625575,0.3848744517596894,,0.08513544836303241,0.08544469355504831,0.1306369710278133,0.4746687958472394,0.28355089008767254,0.5592288793779177,0.38423352200825917,
skeletons ssdeep,,0.024331434233661416,-0.06636470294868828,0.20364514779808782,0.20365596703824176,0.1740142736555455,0.18455307480695834,0.192842861305511,0.14897765447045636,0.14376765858522972,0.09070708613746752,1.0,0.9989505172665765,0.19407152657767976,0.18385434382201812,0.197754515710296,0.1576375449868744,0.20002743315228427,,0.9961584446022304,0.9953516321282551,0.19397845322723573,0.18385434382201812,0.19790366516993663,0.1583785057917377,0.20003529249433544,,0.2994516063466386,0.298806026840999,0.18759069685164878,0.17342382755615424,0.17573226504867967,0.17202258102719395,0.18739075917558073,,0.5152598525555121,0.5146325471784824,0.18579115385233064,0.17342382755615424,0.19621876031703825,0.15683380761180712,0.1995749228886462,
skeletons ppdeep,,0.024388057505211166,-0.06633171599795411,0.20317948610664632,0.2031903061879173,0.17401477709765364,0.18459239013887443,0.19288653801803982,0.14908163676917363,0.14380014123098667,0.09078669580517967,0.9989505172665765,1.0,0.19416257665135964,0.18387805896107967,0.19777273141408325,0.15771133394421316,0.2000436917118601,,0.9952984501922941,0.9963034298806653,0.19407973768157563,0.18387805896107967,0.1979263915876103,0.15845871752176,0.20005155167102165,,0.2995279362715784,0.298911796451806,0.1876539412619862,0.17343613219309842,0.17571386276443376,0.17211095056458264,0.1874430552933266,,0.5153934063808182,0.5147921198654748,0.18583798619499076,0.17343613219309842,0.1962091369067448,0.15691248724002588,0.19959586520403205,
skeletons ppdeep_mod,,0.05939866103953192,-0.04386350196050777,0.043253749767473315,0.04325606236938031,0.35208935349756276,0.6813318314754546,0.570105100496058,0.47043462302189254,-0.12357955370672313,0.49806342779583807,0.19407152657767976,0.19416257665135964,1.0,0.6757427059399614,0.5480425936188654,0.48654744223734436,0.4402134517807465,,0.1948308181047747,0.1949390279597573,0.9218643065091968,0.6757427059399614,0.5473545630456204,0.48753969947536274,0.4395440159163528,,0.2983082091214791,0.2992412245351314,0.3608994136289567,0.6287676726929798,-0.03991030788187236,0.46244407348515565,0.420430693517164,,0.2550117095011263,0.2552266992620981,0.2479110046387095,0.6287676726929798,0.5640005704746681,0.48227337607047605,0.4527235567051502,
skeletons byteBag,,0.07701906793984531,-0.04538718580075035,0.042609157404649815,0.042606862703548236,0.37418390682165453,0.81861318675118,0.691725663715613,0.5375381190632514,-0.13596590853999116,0.4338001604018457,0.18385434382201812,0.18387805896107967,0.6757427059399614,1.0,0.6864341903683543,0.5638545631969499,0.47310644555234727,,0.18466098641734421,0.18469119812684762,0.6613810656887913,1.0,0.6861985694249176,0.5663181042198439,0.4725873782119561,,0.31513136045281354,0.3166399967835015,0.46710167818340714,0.8252948955078668,-0.006514203670797343,0.5517476032981583,0.4742523767163785,,0.25667035514029696,0.2571499671689454,0.2823259761850868,0.8252948955078668,0.7018170439070872,0.5592716558387099,0.49641956617549093,
skeletons lzjd,,0.12547238027563623,0.0020185666661192013,0.04371252191645944,0.04371482895020619,0.3010910575989717,0.7248111770099993,0.7784041442823184,0.4078127521716334,-0.0066495504107799775,0.2516114557371682,0.197754515710296,0.19777273141408325,0.5480425936188654,0.6864341903683543,1.0,0.4242167486285335,0.5182367284417136,,0.19847397410708598,0.19850222057546113,0.5457295394259628,0.6864341903683544,0.986473997047441,0.42803883695221073,0.5176913405912094,,0.4288877497414889,0.4299301826990774,0.5159603232672105,0.5866490071592481,0.18110861406449438,0.44405612042225384,0.5158564312838003,,0.31180434848921934,0.3120792243436851,0.3223001942936059,0.5866490071592481,0.6975722305149135,0.42079311179707196,0.5417604707940263,
skeletons bz,,0.19723649704763357,-0.033335619180796035,0.03787670183725586,0.03787899864774869,0.4090987992042751,0.48551277908399476,0.4545606571110505,0.798649935034655,-0.23123710790098118,0.5602300626403314,0.1576375449868744,0.15771133394421316,0.48654744223734436,0.5638545631969499,0.4242167486285335,1.0,0.6022627298238881,,0.15854300798432858,0.15861760547766923,0.48986909132450235,0.5638545631969498,0.42257024232362106,0.9686604662260628,0.6016788292695535,,0.2658235395234164,0.26764199946056094,0.3811895505231173,0.572754175442071,0.042141672972512464,0.744686167001688,0.6298003422245956,,0.2258698890154692,0.22648311023776033,0.23722958320970847,0.572754175442071,0.4180570832349037,0.8812142695623049,0.6048693135814202,
skeletons jump,,0.22239682353568913,-0.013254216050075299,0.0427063714863273,0.042708670246769026,0.35139096393405916,0.4426733906108664,0.511972930067981,0.5576067245626355,-0.0669485377128204,0.38168523349075995,0.20002743315228427,0.2000436917118601,0.4402134517807465,0.47310644555234727,0.5182367284417136,0.6022627298238881,1.0,,0.2008528741332641,0.2008603172065531,0.4409892854959984,0.4731064455523472,0.5175146763043714,0.6028198535876028,0.9980324482980053,,0.3671540830693034,0.3687710052177597,0.43043215218447145,0.4457698271774558,0.19522269167637368,0.6281205919299842,0.7207787673718749,,0.32479071788909925,0.32510697126535343,0.27661933035864245,0.4457698271774558,0.43274024115385323,0.5947770820582396,0.852459688267794,
skeletons fourbytes,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
fstSecSkel ssdeep,,0.025507748869526798,-0.06598227888256546,0.20290130686770894,0.2029120891669367,0.17488420225917242,0.18528503132060584,0.19351206396420204,0.14985414816223486,0.14348532126935168,0.09162730521007781,0.9961584446022304,0.9952984501922941,0.1948308181047747,0.18466098641734421,0.19847397410708598,0.15854300798432858,0.2008528741332641,,1.0,0.9989152107857167,0.19477199360919376,0.18466098641734421,0.1986206712402567,0.15928377982539918,0.20086071964701813,,0.30091741313185205,0.3003215752037405,0.1882601468675549,0.17408073285114775,0.17581687283948338,0.17291205393507364,0.1881965076894937,,0.5177624092392514,0.5171180713795414,0.18666407540701313,0.17408073285114775,0.19672767287468435,0.15770728978519782,0.20040511706765016,
