,isInner,id1,id2,raw ssdeep,raw ppdeep,raw ppdeep_mod,raw byteBag,raw lzjd,raw bz,raw jump,raw fourbytes,skeletons ssdeep,skeletons ppdeep,skeletons ppdeep_mod,skeletons byteBag,skeletons lzjd,skeletons bz,skeletons jump,skeletons fourbytes,fstSecSkel ssdeep,fstSecSkel ppdeep,fstSecSkel ppdeep_mod,fstSecSkel byteBag,fstSecSkel lzjd,fstSecSkel bz,fstSecSkel jump,fstSecSkel fourbytes,fStat ssdeep,fStat ppdeep,fStat ppdeep_mod,fStat byteBag,fStat lzjd,fStat bz,fStat jump,fStat fourbytes,fStat0 ssdeep,fStat0 ppdeep,fStat0 ppdeep_mod,fStat0 byteBag,fStat0 lzjd,fStat0 bz,fStat0 jump,fStat0 fourbytes
raw fourbytes,,-0.011458244336234808,-0.5019450260840926,,,0.23548578243088153,0.1553981368660963,0.2625383556050747,0.05629022104453001,0.09429659312337274,1.0,0.13571428591449672,0.12595501745694165,0.19811909922029775,0.1764929065764261,0.14011480972993207,0.12392115552366026,0.19986360919504847,,0.1361814729935905,0.12862843521390688,0.18047514704626078,0.1764929065764261,0.14044495320040132,0.1267798830030033,0.19986360919504847,,0.438133148784081,0.4376976061427371,0.2304998119324897,0.17086763465367147,0.12839527925027966,0.22062408972763276,0.27054487489527235,,0.4032442741233292,0.4070827680026275,0.20494236485049366,0.17086763465367147,0.1680408357340184,0.19493739347545222,0.20348417014964665,
skeletons ssdeep,,0.26668043309527406,0.010790537755300107,,,0.42307126810127493,0.4770245875295044,0.4387540301153579,0.3976224764514815,0.005400635102041907,0.13571428591449672,1.0,0.9924650800332204,0.6863221645005408,0.5083048883511113,0.5848414145820185,0.5461782408898463,0.6427589965634872,,0.9989244098540353,0.9938964473742458,0.685011025915532,0.5083048883511113,0.5847428153375209,0.545871125111357,0.6427589965634872,,0.6046969912682273,0.61067003069851,0.5779599039180254,0.6128983942233591,0.5998873039975713,0.5654713851045596,0.6455863086297118,,0.6393960790036154,0.6327284299021674,0.5811067272710366,0.6128983942233591,0.6193250371291111,0.5268275793750957,0.645038460119012,
skeletons ppdeep,,0.2755144696005414,0.014392546919431266,,,0.42175016280752375,0.4845297303649568,0.43349890155223214,0.3972759164273626,0.0014734290668106623,0.12595501745694165,0.9924650800332204,1.0,0.6890416964458945,0.5079983752262262,0.5865274581728271,0.5527388241876233,0.6405429772842887,,0.9906745734112328,0.994971521112961,0.6882211991105289,0.5079983752262262,0.5854446341143098,0.552433724325069,0.6405429772842887,,0.5968777036703767,0.6050293354903544,0.5727592905729483,0.6116515566968325,0.6084646726788155,0.5720357069865039,0.6443502240576804,,0.6412346619466044,0.6345660729360144,0.5857377877263179,0.6116515566968325,0.6151007845603793,0.5353353836126905,0.6428220337983609,
skeletons ppdeep_mod,,0.11227534241917252,-0.12325495003745122,,,0.4814071082843259,0.674460239306823,0.6947036085971394,0.41870033484478014,0.07106778446515369,0.19811909922029775,0.6863221645005408,0.6890416964458945,1.0,0.739817525233658,0.7421699361733227,0.5630252454173349,0.7030078755574259,,0.6850875444772461,0.6885468729016826,0.9834900598066824,0.739817525233658,0.7383159442845026,0.5692875280791668,0.7030078755574259,,0.5819244933745138,0.591015381257771,0.6768418509842057,0.7047806296852517,0.7117549018666246,0.4868793152541598,0.6253535596916805,,0.5538213072375288,0.5493274854934165,0.710020554086219,0.7047806296852517,0.7717452286541187,0.5816252207849208,0.7097693926651124,
skeletons byteBag,,0.05006261743217588,-0.15788979343993934,,,0.4788538738745595,0.8534798534798536,0.7114755486183438,0.41286247089302275,-0.060880366531416964,0.1764929065764261,0.5083048883511113,0.5079983752262262,0.739817525233658,1.0,0.7449882923120953,0.5291768628240964,0.6512250219118396,,0.5066569290930679,0.507384884826378,0.744656930067318,1.0,0.7458679064900706,0.5353576491482722,0.6512250219118396,,0.5229545040042823,0.5298083442092457,0.6529481874025262,0.7262737262737262,0.7085555961886578,0.42592915967417144,0.5374876235273977,,0.44988314027768517,0.44809549738121074,0.6716952108061103,0.7262737262737262,0.7258133746747424,0.5699052136485392,0.6538852098286408,
skeletons lzjd,,0.0838532286188094,-0.139168173548024,,,0.4122506918316731,0.7543718605463456,0.6775716694772344,0.4782103195916656,-0.008079461753414128,0.14011480972993207,0.5848414145820185,0.5865274581728271,0.7421699361733227,0.7449882923120953,1.0,0.5587319104700331,0.69965854242459,,0.5831566552718177,0.5835021176111891,0.7487362870815627,0.7449882923120953,0.9967965071712617,0.565967982114986,0.69965854242459,,0.5368108613031962,0.5336946619188341,0.6412807667453579,0.6638874525732167,0.706338543180237,0.5232345763098564,0.5804923304440204,,0.47757300493640054,0.47138060709645974,0.7002364051178199,0.6638874525732167,0.7714252654779736,0.609769525468794,0.7090693854793872,
skeletons bz,,0.34634881973591763,0.02103332913376018,,,0.3669862511672716,0.5171728508129637,0.4479922525390356,0.4861529277365413,-0.15776331755303605,0.12392115552366026,0.5461782408898463,0.5527388241876233,0.5630252454173349,0.5291768628240964,0.5587319104700331,1.0,0.780577438030522,,0.5445147482447662,0.5511763114128531,0.5721260998128789,0.5291768628240963,0.5549470134580787,0.9849699948198568,0.780577438030522,,0.5306278647286348,0.5405063377728396,0.5767024665483611,0.600534045334718,0.7209069774763099,0.7141666170950479,0.7557559240379315,,0.5558341921849815,0.5607296463317272,0.7379406707940849,0.600534045334718,0.564713394161593,0.8042717510276007,0.7786310517529215,
skeletons jump,,0.25087211364499695,-0.11317275517784081,,,0.4441122595777082,0.64255979644116,0.563483389872153,0.5075871339536582,-0.09842718232133019,0.19986360919504847,0.6427589965634872,0.6405429772842887,0.7030078755574259,0.6512250219118396,0.69965854242459,0.780577438030522,1.0,,0.6410616154748828,0.6429620601033847,0.7028442926515475,0.6512250219118395,0.7005466366964228,0.790853221513319,1.0,,0.6160170649713582,0.6251157739905826,0.7315764163657628,0.689885258627179,0.8248225385693124,0.6787858572381588,0.8284142186208193,,0.5763962261643504,0.571427457638115,0.8407375651113058,0.689885258627179,0.7075591082227606,0.7858572381587725,0.9854831870475124,
skeletons fourbytes,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
fstSecSkel ssdeep,,0.2660711806468021,0.010273018557791586,,,0.4234102284577762,0.4753878418587802,0.43908844279741416,0.3969910286772592,0.00687107150992144,0.1361814729935905,0.9989244098540353,0.9906745734112328,0.6850875444772461,0.5066569290930679,0.5831566552718177,0.5445147482447662,0.6410616154748828,,1.0,0.9921043965648236,0.6842717556684772,0.5066569290930678,0.5830583400632843,0.5442072522694544,0.6410616154748828,,0.6052102637086473,0.6089872017690521,0.5762788537319478,0.6112129395327174,0.5981976481817254,0.5638017106350419,0.6438881585812196,,0.6367549132673311,0.6300874765989226,0.5794252927988479,0.6112129395327174,0.6176219093371321,0.5251717582151214,0.6433395273511838,
