,isInner,id1,id2,raw ssdeep,raw ppdeep,raw ppdeep_mod,raw byteBag,raw lzjd,raw bz,raw jump,raw ncd,raw fourbytes,skeletons ssdeep,skeletons ppdeep,skeletons ppdeep_mod,skeletons byteBag,skeletons lzjd,skeletons bz,skeletons jump,skeletons ncd,skeletons fourbytes,fstSecSkel ssdeep,fstSecSkel ppdeep,fstSecSkel ppdeep_mod,fstSecSkel byteBag,fstSecSkel lzjd,fstSecSkel bz,fstSecSkel jump,fstSecSkel ncd,fstSecSkel fourbytes,fStat ssdeep,fStat ppdeep,fStat ppdeep_mod,fStat byteBag,fStat lzjd,fStat bz,fStat jump,fStat ncd,fStat fourbytes,fStat0 ssdeep,fStat0 ppdeep,fStat0 ppdeep_mod,fStat0 byteBag,fStat0 lzjd,fStat0 bz,fStat0 jump,fStat0 ncd,fStat0 fourbytes
raw ncd,0.5433080740510765,-0.1118106050629736,0.01845133919547963,0.07336633773484257,0.07337542411230824,0.5110295853582344,0.6266624202240897,0.7172473329188331,0.6258802532898055,0.08265341605476538,1.0,0.5545923929426588,0.16380508083034948,0.1638708749265157,0.5352373668470846,0.6317107226307737,0.6766195864460176,0.6295915811505185,0.6305301148501,0.8719666511387721,,0.16618529448331068,0.16625707885974528,0.5288387507582466,0.636789103218803,0.6683558942621559,0.6346322600835486,0.6236009760457171,0.8686092260354649,,0.22460910536586903,0.2244655516663834,0.45267265795285566,0.6291756543530178,-0.06943820999114206,0.6214586008825193,0.6585693056228625,0.7193297050014691,,0.20417470658241588,0.20410910482954658,0.3456271027239504,0.6291756543530178,0.4468742988211412,0.6332575569570293,0.6245257997865987,0.7996926752068467,
raw fourbytes,0.7263179932585834,-0.15873806842546337,0.00032704048565173065,0.08698445874090004,0.08699259061782658,0.3973080468605536,0.46569766814649693,0.44590830111279206,0.5074316011765113,0.08371123886875811,0.5545923929426588,1.0,0.12657488429196645,0.12663604974727408,0.5023478017010594,0.4963853208251215,0.38315125363705027,0.5117414006943525,0.516742725308596,0.4924495937300435,,0.12892165568292513,0.12898852634623018,0.49534723973647404,0.5147423305549942,0.392803453731705,0.5419946714214413,0.5100517291382682,0.5039246219534432,,0.24296485249531907,0.24292509284310512,0.36122543421342296,0.5259335058625856,-0.09975703238649745,0.5117580998083164,0.563806801685748,0.4720517086313145,,0.17171560509832892,0.1719328010506092,0.21456661750056533,0.5259335058625856,0.2627679624666213,0.5423714697871506,0.5081785667224746,0.49156857803921006,
skeletons ssdeep,0.16298618992810196,0.021827727378898574,0.03894430418401661,0.3140088501824229,0.31404411712110114,0.1422235645413203,0.15668217115006533,0.16725413177737605,0.1533500523821583,0.024770346108886,0.16380508083034948,0.12657488429196645,1.0,0.9977484911501825,0.181211339161949,0.1514489745345633,0.16940347181173931,0.15278714692489745,0.17459411274998998,0.17393738863028607,,0.9849688768385704,0.9831608105537577,0.18317148808186215,0.15191503288847322,0.16862075715419203,0.15110862656525756,0.17457424837912258,0.17286324378766224,,0.3548760554524551,0.3537761533008916,0.15032541952340014,0.14801098538156648,0.05902721520492387,0.15865126333617266,0.15601335381104606,0.1563923130245373,,0.39583417215183675,0.39541730611480896,0.12036074195792078,0.14801098538156648,0.1446433389469701,0.15090869745249247,0.17489763469983263,0.17069723692202707,
skeletons ppdeep,0.16303764668726586,0.02176977269154432,0.03893446805453845,0.3137765468167115,0.3138163116506274,0.14229327603488734,0.1568901079477041,0.16734847024376062,0.15350427243272521,0.024731323670144092,0.1638708749265157,0.12663604974727408,0.9977484911501825,1.0,0.1815487458546169,0.15167405214732346,0.16947003377233563,0.15292580883756127,0.17462177644195184,0.17401150989569844,,0.983217874982429,0.9849522764983086,0.1834657165501662,0.15212300451645036,0.16867362265020183,0.1512350461911439,0.17460290596254746,0.1729284375635092,,0.3548516058927026,0.3537688269854022,0.1504454855930255,0.14819932410294365,0.0589557189578485,0.15878911975581886,0.15604813285631475,0.15645545353563722,,0.3957100026035576,0.3953015698651145,0.12030488959454465,0.14819932410294365,0.144660037505629,0.15105270790950057,0.17491950660617517,0.17075845004172605,
skeletons ppdeep_mod,0.4422398870555303,-0.12240180321635648,-0.031719117404740114,0.07689803061493833,0.07690867886605898,0.619438648595063,0.7101003957354438,0.5904940229567849,0.6661593466837008,0.09318682952544859,0.5352373668470846,0.5023478017010594,0.181211339161949,0.1815487458546169,1.0,0.7204267133830272,0.5477635750772631,0.6545040130246893,0.5851783963080872,0.5106467043641638,,0.18065191974857203,0.18096875627780326,0.9300843235301743,0.7123687107427087,0.5349767167314986,0.6522546752529376,0.5780224323335258,0.5122419680419551,,0.20676537966571767,0.20666460908516324,0.5714790116803048,0.695311033328548,-0.27452309358571036,0.6425251526519946,0.6044267096717154,0.5074023178650527,,0.16455422271690537,0.16454665441783659,0.334327158601246,0.695311033328548,0.3968827715898473,0.6598370082151981,0.5745599576452038,0.5286146518927931,
skeletons byteBag,0.4388780237263307,-0.11626539065857103,-0.012055865521470354,0.06849062175096646,0.0685023115036123,0.6525552316736946,0.8724857844065564,0.72657042577926,0.8181815046394205,0.13131620265319746,0.6317107226307737,0.4963853208251215,0.1514489745345633,0.15167405214732346,0.7204267133830272,1.0,0.6570409852814857,0.8065342952307274,0.6748917893097769,0.6121189094802181,,0.1511244668178083,0.15135002954050422,0.7049669792390071,0.9333492062973774,0.628239934160039,0.7863212439405373,0.667639999911615,0.608389264597931,,0.1960589657045174,0.19600648093514617,0.5792764318757775,0.8635554090920747,-0.2858769194480563,0.7770680072431397,0.689023883714874,0.5988731429061054,,0.1620536523924042,0.16209444292792818,0.39962436461083795,0.8635554090920747,0.4230058288845275,0.7944024724330322,0.6628714899015407,0.6298514683769006,
skeletons lzjd,0.38925476493460487,-0.09801152656621052,0.004217905398480424,0.07409371678746408,0.07410170121454075,0.5331706028985848,0.6737121446339867,0.8012620240569157,0.6245007471178173,0.05638525157076654,0.6766195864460176,0.38315125363705027,0.16940347181173931,0.16947003377233563,0.5477635750772631,0.6570409852814857,1.0,0.6284611178777977,0.5913077011372663,0.6835000903907043,,0.1708743397779105,0.17095283179626933,0.543692124122534,0.6476979266831552,0.9188904350602528,0.6132419147584997,0.5853581546595378,0.6765821278236472,,0.22230146742356627,0.22206583430851226,0.523416809544643,0.6321282038156659,-0.08040343155949074,0.6155053129655188,0.6075442662033658,0.676077244471785,,0.19887275589974812,0.19868817874398503,0.3372087467601753,0.6321282038156659,0.5859127495973225,0.6145762941135333,0.5851151970430678,0.7087828396805327,
skeletons bz,0.46404209512602557,-0.11094559644673652,0.014846225440922609,0.06821700877449842,0.0682254755493524,0.6134038686557004,0.7521980567714238,0.6974524018907664,0.9094363028560961,0.1260275830267428,0.6295915811505185,0.5117414006943525,0.15278714692489745,0.15292580883756127,0.6545040130246893,0.8065342952307274,0.6284611178777977,1.0,0.7356788016931511,0.6080619370923772,,0.15286651642434299,0.15300388238591764,0.6478644686521264,0.787340198071455,0.6028365326060329,0.9160182907026372,0.7246194938910059,0.6022613063257075,,0.19386520308268068,0.1937704683958057,0.5400163403648266,0.7813608193662013,-0.27401674142085525,0.8443609271399282,0.7337788772021108,0.607301252469176,,0.15929145930873062,0.15933028725115758,0.38240524802787235,0.7813608193662013,0.4052291937418802,0.8829251115867848,0.7198066020577468,0.6306813966888436,
skeletons jump,0.45217718485843916,-0.09178728034180907,0.01219902491838667,0.0696800876335381,0.06969035691593654,0.526121315336408,0.642323909363097,0.6357181064763606,0.7236306639007988,0.1380428698143132,0.6305301148501,0.516742725308596,0.17459411274998998,0.17462177644195184,0.5851783963080872,0.6748917893097769,0.5913077011372663,0.7356788016931511,1.0,0.6203737869774176,,0.1763676120836295,0.1763991450407364,0.5956842139661123,0.669845719094041,0.5736767878880078,0.7181456908626429,0.9358748858570424,0.6115159770738577,,0.20228181724241945,0.20213488493194146,0.4580253383098561,0.6600038002869527,-0.19780817948070997,0.7055796353614144,0.7547197066817334,0.5879522083953704,,0.18720206111746127,0.18713331289690413,0.3567682072188431,0.6600038002869527,0.3759145602800368,0.7134038092671127,0.8445519640086496,0.6335419859384912,
skeletons ncd,0.48869098431481034,-0.08462966638074372,0.02842482719503063,0.07330038839561563,0.07330932132583884,0.49246750989418425,0.6160265264801643,0.706769418169461,0.6025492111716217,0.08999124787616888,0.8719666511387721,0.4924495937300435,0.17393738863028607,0.17401150989569844,0.5106467043641638,0.6121189094802181,0.6835000903907043,0.6080619370923772,0.6203737869774176,1.0,,0.1763998282806459,0.1764798265056951,0.5073757036642182,0.6123719482827346,0.6671334509132357,0.6032673633655171,0.6141836992645436,0.9614258887706285,,0.22686730882528278,0.22671986996958496,0.4335967122949914,0.60140984430596,-0.06894174998640265,0.5966082268976396,0.6346938735119554,0.6934332438215256,,0.21240377660243884,0.2122925218492915,0.3547791115238594,0.60140984430596,0.4209137386927251,0.6012571135716496,0.6168080417748769,0.8022220109201392,
