,isInner,id1,id2,raw ppdeep,raw ppdeep_mod,raw byteBag,raw lzjd,raw bz,raw jump,raw ncd,raw fourbytes,skeletons ppdeep,skeletons ppdeep_mod,skeletons byteBag,skeletons lzjd,skeletons bz,skeletons jump,skeletons ncd,skeletons fourbytes,fstSecSkel ppdeep,fstSecSkel ppdeep_mod,fstSecSkel byteBag,fstSecSkel lzjd,fstSecSkel bz,fstSecSkel jump,fstSecSkel ncd,fstSecSkel fourbytes,fStat ppdeep,fStat ppdeep_mod,fStat byteBag,fStat lzjd,fStat bz,fStat jump,fStat ncd,fStat fourbytes,fStat0 ppdeep,fStat0 ppdeep_mod,fStat0 byteBag,fStat0 lzjd,fStat0 bz,fStat0 jump,fStat0 ncd,fStat0 fourbytes
skeletons byteBag,,-0.061735406708433437,-0.22921744592721688,0.2861643259492535,0.6324618449910332,0.7304528037348523,0.6988722297000581,0.6010363506296473,0.6085179634327422,0.5099664324520872,0.4251399114303721,0.34104398125969615,0.6162949695226837,1.0,0.6933502746903611,0.5828266167822418,0.5335655424249158,0.39759085308078207,,0.31803583648409073,0.601290420360451,1.0,0.6901532053759325,0.5935416147699035,0.5342429475579117,0.39483039620553373,,0.3684627536116786,0.38205135250795913,0.7666358909676616,0.05098829849149018,0.5902959667421189,0.5397165504832733,0.49240715463160356,,0.32593290018006327,0.30624760391521305,0.7666358909676616,0.34551287838502415,0.5990175819714285,0.5444305510614075,0.4506015136394777,
skeletons lzjd,,-0.034956327284583276,-0.2718460299185251,0.31972089311837854,0.5832178253545851,0.7105360462728143,0.7741719686051686,0.5532768133439416,0.5191544701526354,0.6656507910467638,0.42482882422786933,0.4417847034096077,0.5955073579877914,0.6933502746903611,1.0,0.5450868000138801,0.5288639952603228,0.5912690799410687,,0.41571492712017183,0.5796295033979759,0.6933502746903613,0.9783337292402762,0.550320580853292,0.5291825843104297,0.5896677025699147,,0.4679229143480956,0.44860314688235237,0.6248680633588908,0.18415040174715142,0.5322629721139859,0.5416681781245435,0.5593274743076033,,0.43712816644894453,0.40144711216474854,0.6248680633588908,0.44443622172609126,0.5457913278918151,0.5537249557639741,0.5789006680877042,
skeletons bz,,0.006553993033565371,-0.274094230561831,0.292085465852024,0.38004496855715303,0.5061138256263404,0.575117989583833,0.9038406487935201,0.7902079764456502,0.5453237257628429,0.4902547939804812,0.3689652462923496,0.4519818250139136,0.5828266167822418,0.5450868000138801,1.0,0.7931890010298642,0.41662780518142817,,0.3644955392434713,0.4518910348296643,0.5828266167822418,0.5365755812908538,0.9372484506664239,0.7922535497486658,0.4126249047357369,,0.4061179327113804,0.3220429118173237,0.6253393162145549,0.2619204793737195,0.821048620200294,0.8095015968153809,0.5952358953896756,,0.37083313425709447,0.30775228517532466,0.6253393162145549,0.41467318377398754,0.8996137125181088,0.7942736902737499,0.5104213118760021,
skeletons jump,,0.12317372631756696,-0.17965509158570134,0.2872457035833813,0.34537100395298165,0.505484854490398,0.5410499459357971,0.7719963181727103,0.743352216178928,0.5776531722412619,0.41347480587626406,0.4708900955826782,0.49911447254176367,0.5335655424249158,0.5288639952603228,0.7931890010298642,1.0,0.47137869037339153,,0.47049217811252136,0.5020277999603457,0.5335655424249158,0.523148747769473,0.7855351864369443,0.9925006842540948,0.4671919892612721,,0.4395599988897691,0.3241007822804744,0.5774296659222631,0.3049631659838965,0.7458999430753687,0.8732411572557807,0.6521193511836499,,0.46280819558169045,0.38346871967951257,0.5774296659222631,0.39223997009925776,0.77494737079946,0.9240656192208034,0.5836795809007338,
skeletons ncd,,0.12439480967291162,-0.17696583188431855,0.31324388972399775,0.34152530576513823,0.4643514989333002,0.5042153698232399,0.4101908269320193,0.3585513139272693,0.7691406532244424,0.2886059159778822,0.4960573587341069,0.4235346963098046,0.39759085308078207,0.5912690799410687,0.41662780518142817,0.47137869037339153,1.0,,0.49135785917973485,0.42497525171993766,0.39759085308078207,0.5927789457789413,0.416886550584034,0.47075842109067834,0.9880260556016918,,0.511348347798594,0.38549014021031774,0.3590159854326444,0.3705869549169717,0.3776983221055383,0.4765558454732855,0.6024849966092162,,0.5150996405945578,0.5081989043430801,0.3590159854326444,0.36106946779787136,0.402527999240199,0.5008855383591367,0.7451928990173499,
skeletons fourbytes,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
fstSecSkel ppdeep,,0.1699928239924114,-0.06910357845798144,0.5136465158183205,0.32213251254383307,0.3905529843528209,0.3846766595025464,0.35287483872894765,0.33229870125725475,0.4719332568888038,0.19921529788767076,0.9758741119250561,0.5078618374506282,0.31803583648409073,0.41571492712017183,0.3644955392434713,0.47049217811252136,0.49135785917973485,,1.0,0.5262586222237111,0.31803583648409073,0.4167467833799506,0.36344149197055875,0.47031683828651305,0.4913344897162104,,0.6986115209760281,0.3620525091115085,0.3128893600843331,0.4034541941573648,0.341304523271997,0.4504501158590847,0.4580873028579446,,0.8266625075605576,0.5064886250676337,0.3128893600843331,0.2791267032536004,0.34822709866656665,0.48413083042452154,0.4868591632598016,
fstSecSkel ppdeep_mod,,0.04211737091699564,-0.08864813391534927,0.29652482259577106,0.6165470305744417,0.6026077757728765,0.5402857317228397,0.46223652516732494,0.4587584021254287,0.4746943584839925,0.2893692362299697,0.534323665039279,0.9677314626730356,0.601290420360451,0.5796295033979759,0.4518910348296643,0.5020277999603457,0.42497525171993766,,0.5262586222237111,1.0,0.601290420360451,0.5815054025715498,0.4569290969496188,0.5024193566069065,0.42431791525079454,,0.4388562354475686,0.3467381229445806,0.5018062671022662,0.11281398803445422,0.46178261041067276,0.48829505329177636,0.438105201837327,,0.4650536793065931,0.45417467964262836,0.5018062671022662,0.28798214589985693,0.4569549581134368,0.5119178870037593,0.4435383442864117,
fstSecSkel byteBag,,-0.061735406708433437,-0.22921744592721688,0.2861643259492535,0.6324618449910332,0.7304528037348523,0.6988722297000581,0.6010363506296473,0.6085179634327422,0.5099664324520872,0.4251399114303721,0.34104398125969615,0.6162949695226837,1.0,0.6933502746903613,0.5828266167822418,0.5335655424249158,0.39759085308078207,,0.31803583648409073,0.601290420360451,1.0,0.6901532053759325,0.5935416147699035,0.5342429475579117,0.39483039620553373,,0.3684627536116786,0.38205135250795913,0.7666358909676616,0.05098829849149018,0.5902959667421189,0.5397165504832733,0.49240715463160356,,0.32593290018006327,0.30624760391521305,0.7666358909676616,0.34551287838502415,0.5990175819714285,0.5444305510614075,0.4506015136394777,
fstSecSkel lzjd,,-0.033735118787274365,-0.26936422530227117,0.3190979858647223,0.5834034211759064,0.7127412283751895,0.7699021728361604,0.5454961844424094,0.5127193118815788,0.6631512958929747,0.4192632802157018,0.4425793021216158,0.5970673035291076,0.6901532053759325,0.9783337292402762,0.5365755812908538,0.523148747769473,0.5927789457789413,,0.4167467833799506,0.5815054025715498,0.6901532053759325,1.0,0.542001187672754,0.5235271647923951,0.5913112255369349,,0.4665775858044959,0.448275608239146,0.6199087024176748,0.1779908652652953,0.5248202304931906,0.5350398933362088,0.5570451598210184,,0.436290861174562,0.40464467427027045,0.6199087024176748,0.4379492807344761,0.5378627682782416,0.5477058431811503,0.5773038619246098,
