,isInner,id1,id2,group1,group2,raw ssdeep,raw ppdeep,raw ppdeep_mod,raw byteBag,raw lzjd,raw bz,raw jump,raw fourbytes,skeletons ssdeep,skeletons ppdeep,skeletons ppdeep_mod,skeletons byteBag,skeletons lzjd,skeletons bz,skeletons jump,skeletons fourbytes,fstSecSkel ssdeep,fstSecSkel ppdeep,fstSecSkel ppdeep_mod,fstSecSkel byteBag,fstSecSkel lzjd,fstSecSkel bz,fstSecSkel jump,fstSecSkel fourbytes,fStat ssdeep,fStat ppdeep,fStat ppdeep_mod,fStat byteBag,fStat lzjd,fStat bz,fStat jump,fStat fourbytes,fStat0 ssdeep,fStat0 ppdeep,fStat0 ppdeep_mod,fStat0 byteBag,fStat0 lzjd,fStat0 bz,fStat0 jump,fStat0 fourbytes
1141,True,307099924,823250898,multisig WalletSimple/BitGo forwarder,multisig WalletSimple/BitGo forwarder,0.0,0.0,0.48913043478260865,0.42232683254875586,0.2736318407960199,0.5238095238095238,0.0,0.75,0.0,0.0,0.40625,0.6272108843537415,0.28651685393258425,0.5263157894736843,0.1578947368421053,1,0.0,0.0,0.40909090909090906,0.6272108843537415,0.28205128205128205,0.6842105263157895,0.1578947368421053,1,0.0,0.0,0.38,0.6106870229007634,0.5471698113207547,0.736842105263158,0.3157894736842105,1,0.0,0.0,0.0,0.6106870229007634,0.3972602739726027,0.631578947368421,0.21052631578947367,1
1142,True,307099924,823288289,multisig WalletSimple/BitGo forwarder,multisig WalletSimple/BitGo forwarder,0.0,0.0,0.5227272727272727,0.6164251207729469,0.28967254408060455,0.28,0.040000000000000036,0.75,0.0,0.0,0.5476190476190476,0.6785206258890469,0.35502958579881655,0.47619047619047616,0.1428571428571429,1,0.0,0.0,0.546875,0.6785206258890469,0.3595166163141994,0.5714285714285714,0.1428571428571429,1,0.0,0.0,0.37,0.6090225563909775,0.4909090909090909,0.7142857142857143,0.33333333333333337,1,0.0,0.0,0.0,0.6090225563909775,0.43661971830985913,0.5238095238095238,0.19047619047619047,1
1143,True,307099924,878397624,multisig WalletSimple/BitGo forwarder,multisig WalletSimple/BitGo forwarder,0.0,0.0,0.38888888888888884,0.4538558786346397,0.21904761904761905,0.4285714285714286,0.023809523809523836,0.42857142857142855,0.0,0.0,0.46774193548387094,0.48098859315589354,0.27932960893854747,0.44999999999999996,0.17500000000000004,1,0.0,0.0,0.46875,0.48098859315589354,0.2784090909090909,0.4,0.17500000000000004,1,0.0,0.0,0.38,0.47368421052631576,0.41379310344827586,0.4,0.30000000000000004,1,0.0,0.0,0.0,0.47368421052631576,0.5,0.42500000000000004,0.125,1
1144,True,307099924,1190729923,multisig WalletSimple/BitGo forwarder,multisig WalletSimple/BitGo forwarder,0.0,0.0,0.5,0.6504329004329005,0.32299741602067183,0.6363636363636364,0.0,0.75,0.0,0.0,0.5238095238095238,0.7315875613747954,0.3795180722891566,0.6666666666666667,0.1428571428571429,1,0.0,0.0,0.5275590551181102,0.7315875613747954,0.3719512195121951,0.7142857142857143,0.1428571428571429,1,0.0,0.0,0.38,0.7131147540983607,0.5185185185185185,0.8571428571428572,0.38095238095238093,1,0.0,0.0,0.36585365853658536,0.7131147540983607,0.43661971830985913,0.7142857142857143,0.19047619047619047,1
1145,True,307099924,1226880130,multisig WalletSimple/BitGo forwarder,multisig WalletSimple/BitGo forwarder,0.0,0.0,0.49473684210526314,0.40467625899280574,0.18793503480278423,0.5428571428571429,0.02857142857142858,0.5,0.0,0.0,0.4482758620689655,0.46146703806870937,0.28651685393258425,0.5294117647058824,0.1470588235294118,1,0.0,0.0,0.45,0.46146703806870937,0.2857142857142857,0.5294117647058824,0.1470588235294118,1,0.0,0.0,0.42,0.47761194029850745,0.6078431372549019,0.5294117647058824,0.3529411764705882,1,0.0,0.0,0.0,0.47761194029850745,0.5338345864661654,0.47058823529411764,0.1470588235294118,1
1146,True,307099924,1172914744,multisig WalletSimple/BitGo forwarder,multisig WalletSimple/BitGo forwarder,0.0,0.0,0.5192307692307692,0.3317214700193424,0.20470588235294118,0.6,0.033333333333333326,0.8,0.0,0.0,0.33734939759036137,0.5352564102564102,0.24795640326975477,0.6428571428571428,0.1428571428571429,1,0.0,0.0,0.35294117647058826,0.5352564102564102,0.2430939226519337,0.5714285714285714,0.1428571428571429,1,0.0,0.0,0.38,0.5739644970414202,0.673469387755102,0.5714285714285714,0.3214285714285714,1,0.0,0.0,0.0,0.5739644970414202,0.44680851063829785,0.5,0.1785714285714286,1
1147,True,307099924,1193132930,multisig WalletSimple/BitGo forwarder,multisig WalletSimple/BitGo forwarder,0.0,0.0,0.4482758620689655,0.25431357839459867,0.18244803695150116,0.33333333333333337,0.05555555555555558,0.6,0.0,0.0,0.0,0.458295142071494,0.22788203753351208,0.37142857142857144,0.17142857142857137,1,0.0,0.0,0.0,0.458295142071494,0.22282608695652173,0.34285714285714286,0.17142857142857137,1,0.38,0.38,0.38,0.4898989898989899,0.7083333333333334,0.4571428571428572,0.3142857142857143,1,0.0,0.0,0.0,0.4898989898989899,0.5813953488372093,0.4,0.17142857142857137,1
1148,True,307099924,1311572041,multisig WalletSimple/BitGo forwarder,multisig WalletSimple/BitGo forwarder,0.0,0.0,0.4642857142857143,0.4293929712460064,0.1990632318501171,0.5714285714285714,0.0357142857142857,0.75,0.0,0.0,0.38028169014084506,0.47398843930635837,0.23450134770889489,0.5925925925925926,0.14814814814814814,1,0.0,0.0,0.3835616438356164,0.47398843930635837,0.2396694214876033,0.5185185185185186,0.14814814814814814,1,0.0,0.0,0.38,0.519774011299435,0.5471698113207547,0.6296296296296297,0.2962962962962963,1,0.0,0.0,0.0,0.519774011299435,0.5454545454545454,0.5555555555555556,0.14814814814814814,1
1149,True,307099924,1394011598,multisig WalletSimple/BitGo forwarder,multisig WalletSimple/BitGo forwarder,0.0,0.0,0.4727272727272727,0.3424586776859504,0.17162471395881007,0.5454545454545454,0.0,0.6,0.0,0.0,0.32558139534883723,0.47988223748773307,0.22788203753351208,0.53125,0.1875,1,0.0,0.0,0.34090909090909094,0.47988223748773307,0.22615803814713897,0.5,0.1875,1,0.0,0.0,0.38,0.4517766497461929,0.3898305084745763,0.5,0.21875,1,0.0,0.0,0.0,0.4517766497461929,0.4676258992805755,0.4375,0.15625,1
1150,True,307099924,1462536484,multisig WalletSimple/BitGo forwarder,multisig WalletSimple/BitGo forwarder,0.0,0.0,0.4666666666666666,0.330529440870856,0.1689497716894977,0.5483870967741935,0.032258064516129004,0.6,0.0,0.0,0.0,0.45623836126629425,0.23118279569892472,0.48275862068965514,0.1724137931034483,1,0.0,0.0,0.0,0.45623836126629425,0.22615803814713897,0.5172413793103448,0.1724137931034483,1,0.0,0.0,0.38,0.45698924731182794,0.4909090909090909,0.5517241379310345,0.24137931034482762,1,0.0,0.0,0.0,0.45698924731182794,0.4676258992805755,0.5172413793103448,0.1724137931034483,1
